key,priority,filename
HIVE-20227,Major,pom.xml
HIVE-19980,Major,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcGenericUDTFGetSplits.java
HIVE-19980,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HiveSplitGenerator.java
HIVE-19964,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java
HIVE-19964,Major,ql/src/test/results/clientpositive/llap/resourceplan.q.out
HIVE-19956,Major,jdbc/pom.xml
HIVE-19801,Major,jdbc/pom.xml
HIVE-15190,Critical,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/txn/compactor/TestCompactor.java
HIVE-15190,Critical,ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcFile.java
HIVE-15190,Critical,ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRawRecordMerger.java
HIVE-15190,Critical,ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRecordUpdater.java
HIVE-15190,Critical,ql/src/java/org/apache/hadoop/hive/ql/io/orc/VectorizedOrcAcidRowBatchReader.java
HIVE-15190,Critical,ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java
HIVE-15190,Critical,ql/src/test/results/clientpositive/acid_nullscan.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/acid_table_stats.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/autoColumnStats_4.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/llap/acid_bucket_pruning.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/llap/acid_vectorization_original.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/llap/default_constraint.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/llap/dynpart_sort_optimization_acid.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/llap/insert_values_orig_table_use_metadata.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/llap/materialized_view_create_rewrite_3.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/llap/materialized_view_create_rewrite_4.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/llap/materialized_view_create_rewrite_5.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/llap/materialized_view_create_rewrite_rebuild_dummy.q.out
HIVE-15190,Critical,ql/src/test/results/clientpositive/row__id.q.out
