Name,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments
DerbyPolicy.java,90,0,2,2,0,2,2,201,201,0,0,52,0
MiniLlapCluster.java,5,0,4,25,0,4,25,192,89,10,33,0,0
TestLowLevelCacheImpl.java,8,0,10,35,0,10,35,342,89,40,34,1,4
TestOrcMetadataCache.java,86,0,9,21,0,9,21,342,89,45,56,1,3
TestBuddyAllocator.java,13,0,5,25,0,5,25,342,89,70,45,1,0
TestBuddyAllocatorForceEvict.java,470,0,2,2,0,2,2,298,224,212,212,1,0
TestLowLevelLrfuCachePolicy.java,0,56,4,19,0,4,19,229,89,86,61,1,0
TestIncrementalObjectSizeEstimator.java,6,0,4,14,0,4,14,242,130,71,86,1,1
TestLlapSignerImpl.java,0,0,1,5,0,1,5,373,373,0,149,1,0
TestTaskExecutorService.java,61,0,2,24,0,2,24,298,224,156,43,1,0
TaskExecutorTestHelpers.java,36,0,5,27,0,5,27,206,187,62,33,0,1
TestQueryIdentifier.java,0,0,1,3,0,1,3,373,373,0,362,1,0
TestEvictingPriorityBlockingQueue.java,0,0,2,4,0,2,4,298,224,214,115,1,0
TestLlapTokenChecker.java,0,0,1,4,0,1,4,373,373,0,209,1,0
TestLlapWebServices.java,0,0,1,2,0,1,2,108,108,0,301,0,0
TestAMReporter.java,105,0,4,4,0,4,4,201,6,63,63,1,1
TestShortestJobFirstComparator.java,0,0,2,8,0,2,8,224,224,57,103,0,0
TestFirstInFirstOutComparator.java,0,0,2,13,0,2,13,298,224,214,73,1,0
ConsumerFeedback.java,0,0,1,4,0,1,4,373,373,0,369,1,0
LlapDaemonConfiguration.java,0,7,4,14,0,4,14,167,89,31,69,0,0
LlapServiceDriver.java,20,0,13,62,0,13,62,225,7,34,18,1,4
LlapStatusServiceDriver.java,0,9,6,19,0,6,19,218,89,54,36,1,0
LlapStatusOptionsProcessor.java,16,0,5,10,0,5,10,218,89,68,72,1,0
LlapOptionsProcessor.java,16,0,2,24,0,2,24,373,373,112,45,1,0
LlapSliderUtils.java,55,0,5,6,0,5,6,218,89,68,68,1,0
IndexCache.java,0,0,1,3,0,1,3,373,373,0,542,1,0
FadvisedFileRegion.java,6,0,1,3,0,1,3,44,44,0,456,0,0
ShuffleHandler.java,80,0,12,26,0,12,26,132,2,30,40,0,0
ContainerRunner.java,5,0,1,7,0,1,7,224,224,0,154,0,0
EvictionDispatcher.java,21,0,7,12,0,7,12,342,89,47,95,1,0
LowLevelCache.java,0,0,5,25,0,5,25,342,89,84,48,1,1
LowLevelCacheCounters.java,0,0,1,3,0,1,3,373,373,0,484,1,0
MemoryManager.java,0,2,4,23,0,4,23,229,89,86,78,1,0
SimpleAllocator.java,10,0,4,7,0,4,7,229,89,86,124,1,0
BuddyAllocatorMXBean.java,0,0,1,2,0,1,2,373,373,0,1050,1,0
EvictionAwareAllocator.java,0,0,1,4,0,1,4,373,373,0,333,1,0
LlapOomDebugDump.java,1,0,4,5,0,4,5,382,89,94,247,1,0
LowLevelCacheImpl.java,50,0,7,50,0,7,50,342,89,56,23,1,1
LowLevelLrfuCachePolicy.java,0,52,10,35,0,10,35,342,89,41,34,3,3
FileCacheCleanupThread.java,0,0,1,2,0,1,2,373,373,0,365,1,0
SerDeLowLevelCacheImpl.java,87,0,6,10,0,6,10,342,89,67,46,1,1
LlapDataBuffer.java,0,107,3,10,0,3,10,298,224,134,122,1,1
LowLevelCacheMemoryManager.java,0,1,6,25,0,6,25,342,89,59,43,1,0
LlapAllocatorBuffer.java,414,0,4,4,0,4,4,201,6,70,70,1,0
CacheContentsTracker.java,220,0,4,4,0,4,4,298,224,7,7,19,3
SimpleBufferManager.java,9,0,6,9,0,6,9,342,89,67,99,1,1
EvictionListener.java,0,0,1,4,0,1,4,373,373,0,406,1,0
LowLevelCachePolicy.java,0,1,7,16,0,7,16,229,89,56,79,1,3
BufferUsageManager.java,0,0,1,2,0,1,2,373,373,0,744,1,0
FileCache.java,0,0,1,2,0,1,2,373,373,0,365,1,0
LowLevelFifoCachePolicy.java,12,0,9,23,0,9,23,342,89,46,53,1,3
BuddyAllocator.java,1043,0,7,40,0,7,40,342,89,54,29,10,0
LlapCacheableBuffer.java,6,0,3,13,0,3,13,298,224,134,96,1,1
LlapDaemonPolicyProvider.java,0,0,1,3,0,1,3,373,373,0,386,1,0
FragmentCountersMap.java,0,0,1,2,0,1,2,373,373,0,679,1,0
WmFragmentCounters.java,138,0,3,3,0,3,3,298,224,34,34,26,0
QueryFragmentCounters.java,0,0,1,8,0,1,8,373,373,0,150,1,0
LlapDaemonExecutorInfo.java,1,0,2,9,0,2,9,209,45,28,131,1,1
LlapDaemonExecutorMetrics.java,0,0,4,14,0,4,14,231,89,100,80,1,0
LlapDaemonIOMetrics.java,0,0,1,3,0,1,3,373,373,0,318,1,0
LlapDaemonCustomMetricsInfo.java,0,0,1,3,0,1,3,373,373,0,524,1,0
LlapDaemonCacheInfo.java,1,0,2,6,0,2,6,209,45,28,210,1,1
LlapDaemonIOInfo.java,1,0,2,4,0,2,4,209,45,28,211,1,1
LlapDaemonJvmMetrics.java,28,0,3,4,0,3,4,373,373,118,105,1,0
LlapDaemonCacheMetrics.java,0,0,1,9,0,1,9,373,373,0,131,1,0
LlapDaemonJvmInfo.java,4,0,4,5,0,4,5,209,45,79,78,1,1
LlapStatusHelpers.java,449,0,4,4,0,4,4,216,89,91,91,1,0
OrcFileMetadata.java,0,78,3,14,0,3,14,298,224,106,83,1,0
OrcFileEstimateErrors.java,5,0,5,7,0,5,7,242,130,75,120,2,1
ConsumerStripeMetadata.java,0,0,1,2,0,1,2,373,373,0,365,1,0
OrcStripeMetadata.java,0,76,7,30,0,7,30,298,224,54,40,2,0
MetadataCache.java,554,0,3,4,0,3,4,298,224,90,425,1,1
ConsumerFileMetadata.java,0,0,1,2,0,1,2,373,373,0,365,1,0
CompressionBuffer.java,0,2,1,2,0,1,2,373,373,0,1105,3,0
