Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments,Bugs
File,AbstractOperatorDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,7.0,30.0,1.0,0.0,0.0,11.0,11.0,5.0,11.0,0.0,0.0,0.0,11.0,87.0,17.0,53.0,30.0,13.0,17.0,20.0,32.0,21.0,11.0,1.0,1.0,1.0,1.0,82.0,0.32,11.0,11.0,11.0,11.0,0.0,3.8181818181818175,12.0,1.0,1.0909090909090908,2.0,1.0,1.0,1.0,0.0,0.0,0.0,5,0,2,16,0,2,16,160,110,48,83,0,0,1.0
File,AbstractParquetMapInspector.java,10.0,1.0,9.0,0.0,3.0,3.0,3.0,2.0,1.3333333333333333,7.666666666666667,1.0,1.0,0.0,0.0,13.0,13.0,2.0,13.0,0.0,0.0,0.0,13.0,173.0,26.0,134.0,48.0,68.0,13.0,57.0,90.0,37.0,58.0,10.0,10.0,10.0,1.6666666666666667,20.666666666666668,0.1,33.0,33.0,35.0,30.0,0.0,1.894736842105263,7.0,1.0,3.0,7.0,1.0,2.1052631578947367,13.0,0.0,0.3157894736842105,2.0,0,0,1,9,0,1,9,20,20,0,101,0,1,0.0
File,AbstractSMBJoinProc.java,41.0,4.0,27.0,10.0,4.0,4.0,5.0,3.0,2.0,49.0,4.0,1.0,0.0,0.0,12.0,12.0,0.0,12.0,0.0,2.0,7.0,3.0,537.0,61.0,335.0,134.0,201.0,141.0,175.0,227.0,109.0,163.0,12.0,12.0,15.0,2.0,0.0,0.42,49.0,49.0,55.0,34.0,0.0,5.1,8.0,1.0,14.6,31.0,0.0,9.3,28.0,0.0,1.4,3.0,0,0,4,21,0,4,21,710,128,30,55,0,1,1.0
File,AbstractSerDe.java,11.0,0.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,12.0,20.0,1.0,0.0,0.0,9.0,9.0,1.0,9.0,0.0,0.0,0.0,9.0,127.0,15.0,30.0,22.0,4.0,83.0,17.0,21.0,18.0,3.0,2.0,2.0,2.0,1.0,67.0,2.77,4.0,4.0,4.0,3.0,0.0,1.1111111111111112,5.0,0.0,1.0,2.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0,0,1,8,0,1,8,511,511,0,141,0,0,0.0
File,AbstractService.java,9.0,0.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,12.0,4.0,1.0,0.0,1.0,12.0,12.0,5.0,12.0,0.0,2.0,0.0,10.0,184.0,22.0,76.0,35.0,29.0,86.0,34.0,50.0,26.0,26.0,2.0,2.0,4.0,1.0,78.0,1.13,14.0,14.0,16.0,12.0,1.0,5.0,10.0,1.0,2.1818181818181817,6.0,1.0,1.181818181818182,2.0,0.0,0.1818181818181818,1.0,0,0,3,5,0,3,5,73,73,2,258,0,0,0.0
File,AbstractTestAuthorizationApiAuthorizer.java,9.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.9,6.5,0.2,11.0,1.0,3.0,21.0,20.0,0.0,21.0,0.0,1.0,1.0,19.0,211.0,23.0,153.0,63.0,76.0,36.0,69.0,95.0,54.0,52.0,4.0,4.0,4.0,1.0,8.8,0.24,24.0,24.0,24.0,20.0,0.0,1.761904761904762,15.0,0.0,2.1904761904761907,13.0,0.0,1.238095238095238,6.0,0.0,0.1428571428571428,2.0,0,0,1,3,0,1,3,511,511,0,222,0,0,0.0
File,AccumuloPredicateHandler.java,19.0,2.0,13.0,5.0,3.0,3.0,3.0,2.0,1.0,68.0,0.0,1.0,1.0,6.0,16.0,15.0,0.0,16.0,0.0,2.0,1.0,13.0,426.0,50.0,277.0,128.0,161.0,99.0,168.0,213.0,118.0,132.0,7.0,7.0,9.0,1.0,54.5,0.36,46.0,46.0,48.0,27.0,1.0,6.0,20.0,1.0,12.6,32.0,1.0,3.6,36.0,0.0,0.575,2.0,0,0,2,6,0,2,6,168,128,174,130,0,1,1.0
File,AccumuloQTestUtil.java,6.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,38.0,4.0,13.0,7.0,3.0,21.0,5.0,8.0,5.0,3.0,1.0,1.0,1.0,2.0,0.0,1.62,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,5,0,1,5,511,511,0,120,0,0,0.0
File,AcidCompactionHistoryService.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.5,9.5,0.0,2.0,0.0,1.0,6.0,6.0,2.0,6.0,0.0,1.0,3.0,2.0,83.0,7.0,56.0,35.0,14.0,20.0,31.0,40.0,30.0,13.0,2.0,2.0,2.0,1.5,0.0,0.36,7.0,7.0,7.0,6.0,0.0,1.8,4.0,1.0,2.8,8.0,1.0,1.2,2.0,0.0,0.2,1.0,0,1,3,4,0,3,4,139,119,30,20,0,1,0.0
File,AcidHouseKeeperService.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.5,9.5,0.0,2.0,0.0,1.0,6.0,6.0,2.0,6.0,0.0,1.0,3.0,2.0,74.0,6.0,47.0,26.0,14.0,21.0,22.0,31.0,21.0,13.0,2.0,2.0,2.0,1.5,0.0,0.45,7.0,7.0,7.0,6.0,0.0,2.4,4.0,1.0,3.0,8.0,1.0,1.2,2.0,0.0,0.2,1.0,8,0,3,7,0,3,7,139,119,30,36,0,1,0.0
File,AcidUtils.java,12.0,0.0,10.0,2.0,2.0,2.0,2.0,1.0,1.2727272727272727,7.636363636363637,0.0,12.0,24.0,20.0,48.0,26.0,11.0,50.0,7.0,4.0,0.0,39.0,719.0,57.0,494.0,169.0,289.0,169.0,211.0,326.0,161.0,212.0,14.0,14.0,15.0,1.4545454545454546,8.181818181818182,0.34,102.0,102.0,114.0,59.0,0.0,5.0701754385964914,21.0,1.0,6.298245614035087,19.0,0.0,6.0701754385964914,240.0,0.0,0.4736842105263157,3.0,63,0,10,34,0,10,34,437,22,18,24,13,2,1.0
File,AddDynamicPartitions.java,10.0,0.0,9.0,1.0,3.0,2.0,3.0,2.0,2.2,11.6,0.0,6.0,3.0,9.0,54.0,53.0,11.0,56.0,1.0,2.0,0.0,53.0,739.0,97.0,613.0,148.0,363.0,41.0,292.0,430.0,133.0,320.0,14.0,14.0,28.0,1.4,15.0,0.07,146.0,131.0,163.0,84.0,0.0,3.38,11.0,1.0,3.28,19.0,1.0,6.04,64.0,0.0,0.56,4.0,125,0,7,16,0,7,16,44,3,26,28,13,4,1.0
File,AddPartitionsRequest.java,11.0,1.0,10.0,1.0,3.0,2.0,3.0,2.0,2.2,12.0,0.0,6.0,3.0,12.0,59.0,58.0,13.0,61.0,1.0,2.0,0.0,58.0,849.0,108.0,711.0,163.0,437.0,45.0,344.0,504.0,148.0,385.0,17.0,17.0,35.0,1.4,15.4,0.06,172.0,152.0,194.0,95.0,0.0,3.709090909090909,13.0,1.0,3.618181818181818,23.0,1.0,10.49090909090909,192.0,0.0,0.5272727272727272,4.0,0,0,4,23,0,4,23,26,3,47,38,0,2,0.0
File,AddPartitionsResult.java,8.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,2.2,11.4,0.0,6.0,3.0,6.0,38.0,37.0,4.0,40.0,1.0,2.0,0.0,37.0,447.0,65.0,357.0,111.0,174.0,28.0,159.0,246.0,104.0,158.0,6.0,6.0,9.0,1.4,9.2,0.08,79.0,79.0,84.0,50.0,0.0,2.4285714285714284,9.0,0.0,3.085714285714286,13.0,1.0,2.2285714285714286,9.0,0.0,0.8285714285714286,4.0,0,0,4,23,0,4,23,26,3,47,38,0,2,0.0
File,Adjacency.java,10.0,0.0,9.0,1.0,3.0,2.0,3.0,1.0,2.2,12.2,0.0,6.0,3.0,7.0,49.0,48.0,8.0,51.0,1.0,2.0,0.0,48.0,664.0,84.0,541.0,136.0,305.0,48.0,245.0,373.0,123.0,274.0,11.0,11.0,23.0,1.4,13.0,0.09,131.0,121.0,146.0,73.0,0.0,3.142857142857143,9.0,0.0,3.107142857142857,18.0,1.0,5.428571428571429,96.0,0.0,0.5892857142857143,4.0,0,0,2,14,0,2,14,4,3,0,178,0,0,0.0
File,AdjacencyType.java,5.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,3.0,5.0,0.0,1.0,0.0,4.0,45.0,7.0,25.0,11.0,9.0,13.0,11.0,15.0,9.0,6.0,3.0,2.0,3.0,0.0,0.0,0.52,5.0,4.0,5.0,3.0,1.0,3.857142857142857,7.0,1.0,1.0,1.0,1.0,1.4285714285714286,3.0,0.0,0.2857142857142857,1.0,0,0,2,9,0,2,9,4,3,0,289,0,0,0.0
File,AggrStats.java,9.0,0.0,8.0,1.0,2.0,2.0,2.0,1.0,1.7777777777777777,14.37037037037037,0.0,6.0,3.0,7.0,44.0,43.0,7.0,46.0,1.0,2.0,0.0,43.0,542.0,77.0,438.0,124.0,235.0,33.0,207.0,307.0,114.0,208.0,8.0,8.0,14.0,1.7037037037037035,37.66666666666666,0.08,97.0,92.0,104.0,62.0,0.0,2.3461538461538463,15.0,0.0,3.5,45.0,0.0,1.8687782805429864,32.0,0.0,0.3733031674208145,5.0,0,0,2,12,0,2,12,4,3,0,45,0,0,0.0
File,AggregationDesc.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,12.0,0.0,1.0,0.0,1.0,17.0,17.0,7.0,17.0,0.0,0.0,0.0,17.0,158.0,25.0,110.0,40.0,48.0,23.0,50.0,76.0,37.0,40.0,4.0,4.0,4.0,1.0,79.0,0.21,24.0,24.0,25.0,20.0,1.0,4.428571428571429,15.0,1.0,2.7142857142857144,10.0,1.0,1.7142857142857142,6.0,0.0,0.3333333333333333,2.0,0,0,1,7,0,1,7,209,209,0,357,0,0,1.0
File,AlreadyExistsException.java,7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,2.2,9.2,0.0,6.0,3.0,5.0,36.0,35.0,4.0,38.0,1.0,2.0,0.0,35.0,395.0,63.0,307.0,104.0,148.0,28.0,136.0,210.0,91.0,132.0,5.0,5.0,9.0,1.6,10.0,0.09,67.0,67.0,72.0,48.0,0.0,3.296875,33.0,0.0,2.6875,9.0,1.0,2.0625,7.0,0.0,0.6875,3.0,0,0,2,15,0,2,15,4,3,0,190,0,0,0.0
File,AlterHandler.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,130.0,7.0,25.0,24.0,0.0,98.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,58.0,3.92,0.0,0.0,0.0,0.0,0.0,5.25,16.0,0.0,13.1875,70.0,0.0,69588.6875,1078848.0,0.0,2.0625,7.0,0,22,1,7,0,1,7,110,110,0,401,0,0,0.0
File,AlterTableDesc.java,6.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,18.0,0.0,3.0,1.0,2.0,81.0,84.0,61.0,85.0,0.0,1.0,0.0,84.0,738.0,90.0,384.0,165.0,144.0,264.0,186.0,269.0,134.0,136.0,2.0,2.0,2.0,2.0,95.0,0.69,82.0,82.0,82.0,81.0,1.0,2.08955223880597,6.0,1.0,1.1194029850746268,5.0,1.0,1.0149253731343284,2.0,0.0,0.0149253731343283,1.0,75,0,3,32,0,3,32,90,71,41,74,21,0,1.0
File,AlterTableSimpleDesc.java,6.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,10.0,10.0,4.0,10.0,0.0,0.0,0.0,10.0,102.0,16.0,51.0,22.0,17.0,35.0,24.0,36.0,20.0,16.0,2.0,2.0,2.0,2.0,65.0,0.69,11.0,11.0,11.0,10.0,1.0,3.571428571428572,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,0,1,4,0,1,4,22,22,0,726,0,1,0.0
File,AnnotateWithOpTraits.java,41.0,4.0,32.0,5.0,1.0,1.0,1.0,1.0,1.0,28.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,96.0,10.0,60.0,35.0,29.0,26.0,44.0,46.0,33.0,18.0,1.0,1.0,1.0,2.0,0.0,0.43,1.0,1.0,1.0,1.0,3.0,3.0,3.0,29.0,29.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,5,0,1,5,71,71,0,156,0,0,0.0
File,AnnotateWithStatistics.java,35.0,4.0,26.0,5.0,1.0,1.0,1.0,1.0,1.0,25.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,82.0,9.0,51.0,32.0,23.0,22.0,38.0,40.0,30.0,15.0,1.0,1.0,1.0,2.0,0.0,0.43,1.0,1.0,1.0,1.0,3.0,3.0,3.0,28.0,28.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,6,0,1,6,71,71,0,151,0,0,0.0
File,AppConfig.java,5.0,0.0,5.0,1.0,2.0,2.0,2.0,1.0,1.5,16.5,0.0,3.0,4.0,52.0,42.0,40.0,2.0,44.0,0.0,7.0,0.0,37.0,413.0,36.0,290.0,149.0,186.0,88.0,175.0,249.0,144.0,122.0,8.0,8.0,8.0,1.5,0.0,0.3,66.0,66.0,66.0,50.0,1.0,2.581395348837209,8.0,1.0,3.674418604651162,16.0,1.0,2.046511627906977,16.0,0.0,0.4651162790697674,4.0,3,0,2,41,0,2,41,112,70,128,29,0,1,0.0
File,AppMasterEventOperator.java,11.0,1.0,9.0,1.0,2.0,2.0,2.0,1.0,1.0,20.5,0.5,1.0,1.0,0.0,9.0,8.0,4.0,9.0,0.0,0.0,2.0,7.0,160.0,25.0,108.0,49.0,48.0,27.0,58.0,77.0,42.0,40.0,6.0,6.0,6.0,2.5,72.5,0.25,18.0,18.0,18.0,9.0,0.0,5.111111111111111,15.0,1.0,6.888888888888889,17.0,1.0,4.0,15.0,0.0,1.1111111111111112,4.0,0,2,2,13,0,2,13,528,511,76,48,0,1,1.0
File,ArrayWritableObjectInspector.java,10.0,1.0,9.0,0.0,3.0,3.0,3.0,3.0,1.5,15.0,0.0,2.0,0.0,0.0,18.0,18.0,8.0,18.0,0.0,1.0,0.0,17.0,260.0,33.0,202.0,77.0,105.0,25.0,104.0,154.0,65.0,97.0,19.0,19.0,21.0,2.0,71.5,0.12,49.0,49.0,53.0,46.0,0.0,3.0588235294117645,29.0,1.0,3.5294117647058822,16.0,1.0,2.7058823529411766,19.0,0.0,0.4117647058823529,2.0,0,0,1,13,0,1,13,74,74,0,62,0,1,0.0
File,AuthenticationProviderFactory.java,4.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,1.0,7.0,0.0,2.0,2.0,0.0,5.0,5.0,5.0,7.0,1.0,1.0,0.0,5.0,71.0,9.0,42.0,16.0,16.0,20.0,13.0,26.0,11.0,15.0,5.0,5.0,5.0,1.0,0.0,0.48,11.0,11.0,11.0,11.0,2.0,4.333333333333333,7.0,1.0,3.0,4.0,1.0,3.0,5.0,0.0,1.0,2.0,6,0,1,4,0,1,4,22,22,0,362,0,0,0.0
File,AuthorizationMetaStoreFilterHook.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,1.0,20.0,0.0,1.0,0.0,1.0,7.0,7.0,0.0,7.0,0.0,4.0,0.0,3.0,101.0,14.0,63.0,30.0,29.0,24.0,34.0,49.0,30.0,27.0,3.0,3.0,3.0,2.0,0.0,0.38,12.0,12.0,12.0,9.0,1.0,2.833333333333333,6.0,4.0,5.0,10.0,1.0,1.8333333333333333,3.0,0.0,0.6666666666666666,1.0,1,0,3,8,1,3,8,201,110,27,68,0,3,1.0
File,AuthorizationTestUtil.java,7.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,2.0,4.0,0.0,6.0,2.0,1.0,6.0,0.0,3.0,0.0,3.0,94.0,11.0,42.0,25.0,11.0,41.0,26.0,34.0,25.0,11.0,1.0,1.0,1.0,1.0,0.0,0.98,6.0,6.0,6.0,6.0,2.0,3.2,5.0,2.0,4.4,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,2,0,1,2,70,70,0,773,0,1,0.0
File,AuthorizationUtils.java,16.0,0.0,13.0,3.0,4.0,3.0,4.0,3.0,1.0,42.0,0.0,1.0,14.0,0.0,14.0,0.0,0.0,14.0,0.0,1.0,0.0,13.0,293.0,21.0,210.0,64.0,124.0,63.0,95.0,133.0,59.0,86.0,9.0,5.0,9.0,1.0,0.0,0.3,56.0,35.0,56.0,46.0,2.0,7.303030303030303,19.0,1.0,5.2727272727272725,16.0,1.0,4.181818181818182,20.0,0.0,1.121212121212121,2.0,0,0,1,13,0,1,13,339,339,0,57,0,0,0.0
