key,priority,filename
HIVE-13833,Minor,ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java
HIVE-13961,Blocker,ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
HIVE-13961,Blocker,ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java
HIVE-14010,Major,bin/hive
HIVE-13563,Major,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java
HIVE-13563,Major,orc/src/java/org/apache/orc/OrcConf.java
HIVE-13563,Major,ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRecordUpdater.java
HIVE-13563,Major,ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestOrcRecordUpdater.java
HIVE-13973,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/PTFTranslator.java
HIVE-13973,Major,ql/src/test/queries/clientpositive/windowing_range_multiorder.q
HIVE-13973,Major,ql/src/test/results/clientpositive/windowing_range_multiorder.q.out
HIVE-13972,Blocker,common/src/java/org/apache/hadoop/hive/common/StringableMap.java
HIVE-13972,Blocker,metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java
HIVE-13972,Blocker,metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnUtils.java
HIVE-13972,Blocker,ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
HIVE-13972,Blocker,ql/src/test/org/apache/hadoop/hive/ql/txn/compactor/TestWorker.java
HIVE-13955,Blocker,packaging/pom.xml
HIVE-13955,Blocker,packaging/src/main/assembly/src.xml
HIVE-13911,Major,ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java
HIVE-13904,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/QBSubQuery.java
HIVE-13904,Major,ql/src/test/queries/clientpositive/subquery_exists.q
HIVE-13904,Major,ql/src/test/results/clientpositive/spark/subquery_exists.q.out
HIVE-13904,Major,ql/src/test/results/clientpositive/subquery_exists.q.out
HIVE-13904,Major,ql/src/test/results/clientpositive/tez/subquery_exists.q.out
HIVE-13599,Critical,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/TaskExecutorService.java
HIVE-13599,Critical,llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/TestTaskExecutorService.java
HIVE-13924,Critical,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java
HIVE-13924,Critical,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/ColAndCol.java
HIVE-13924,Critical,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/ColOrCol.java
HIVE-13924,Critical,ql/src/test/queries/clientpositive/vector_multi_and_or_projection.q
HIVE-13924,Critical,ql/src/test/results/clientpositive/vector_multi_and_or_projection.q.out
HIVE-13882,Major,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java
HIVE-13882,Major,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcWithMiniHS2.java
HIVE-13882,Major,jdbc/src/java/org/apache/hive/jdbc/HiveStatement.java
HIVE-13882,Major,service-rpc/if/TCLIService.thrift
HIVE-13882,Major,service-rpc/src/gen/thrift/gen-cpp/TCLIService_types.cpp
HIVE-13882,Major,service-rpc/src/gen/thrift/gen-cpp/TCLIService_types.h
HIVE-13882,Major,service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TGetOperationStatusResp.java
HIVE-13882,Major,service-rpc/src/gen/thrift/gen-php/Types.php
HIVE-13882,Major,service-rpc/src/gen/thrift/gen-py/TCLIService/ttypes.py
HIVE-13882,Major,service-rpc/src/gen/thrift/gen-rb/t_c_l_i_service_types.rb
HIVE-13882,Major,service/src/java/org/apache/hive/service/cli/OperationStatus.java
HIVE-13882,Major,service/src/java/org/apache/hive/service/cli/operation/Operation.java
HIVE-13882,Major,service/src/java/org/apache/hive/service/cli/thrift/ThriftCLIService.java
HIVE-13882,Major,service/src/java/org/apache/hive/service/cli/thrift/ThriftCLIServiceClient.java
HIVE-13929,Blocker,ql/src/java/org/apache/hadoop/hive/ql/io/AcidUtils.java
HIVE-13929,Blocker,ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java
HIVE-13912,Blocker,metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java
HIVE-13927,Major,itests/hive-unit/src/test/java/org/apache/hive/jdbc/miniHS2/StartMiniHS2Cluster.java
HIVE-13927,Major,itests/hive-unit/src/test/java/org/apache/hive/service/cli/thrift/ThriftCliServiceMessageSizeTest.java
HIVE-13876,Critical,serde/src/java/org/apache/hadoop/hive/serde2/lazy/fast/LazySimpleDeserializeRead.java
HIVE-13856,Blocker,metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java
HIVE-13856,Blocker,metastore/src/test/org/apache/hadoop/hive/metastore/txn/TestTxnUtils.java
HIVE-13867,Blocker,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/security/authorization/plugin/TestHiveAuthorizerCheckInvocation.java
HIVE-13867,Blocker,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/security/authorization/plugin/TestHiveAuthorizerShowFilters.java
HIVE-13867,Blocker,itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestHS2AuthzContext.java
HIVE-13867,Blocker,itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestJdbcMetadataApiAuth.java
HIVE-13867,Blocker,itests/util/src/main/java/org/apache/hadoop/hive/ql/security/DummyAuthenticator.java
HIVE-13867,Blocker,itests/util/src/main/java/org/apache/hadoop/hive/ql/security/InjectableDummyAuthenticator.java
HIVE-13867,Blocker,itests/util/src/main/java/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/SQLStdHiveAuthorizationValidatorForTest.java
HIVE-13867,Blocker,ql/src/java/org/apache/hadoop/hive/ql/Driver.java
HIVE-13867,Blocker,ql/src/java/org/apache/hadoop/hive/ql/parse/TableMask.java
HIVE-13867,Blocker,ql/src/java/org/apache/hadoop/hive/ql/processors/CommandUtil.java
HIVE-13867,Blocker,ql/src/java/org/apache/hadoop/hive/ql/security/HadoopDefaultAuthenticator.java
HIVE-13867,Blocker,ql/src/java/org/apache/hadoop/hive/ql/security/HiveAuthenticationProvider.java
HIVE-13867,Blocker,ql/src/java/org/apache/hadoop/hive/ql/security/SessionStateConfigUserAuthenticator.java
HIVE-13867,Blocker,ql/src/java/org/apache/hadoop/hive/ql/security/SessionStateUserAuthenticator.java
HIVE-13867,Blocker,ql/src/java/org/apache/hadoop/hive/ql/security/authorization/plugin/AuthorizationMetaStoreFilterHook.java
HIVE-13867,Blocker,ql/src/java/org/apache/hadoop/hive/ql/security/authorization/plugin/HiveAuthorizationValidator.java
