Name,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments
TestLowLevelLrfuCachePolicy.java,40,0,1,20,0,1,20,236,236,0,65,1,0
TestAMReporter.java,3,0,1,5,0,1,5,335,335,0,64,0,1
LlapServiceDriver.java,1,0,1,62,0,1,62,8,8,0,19,2,0
LlapStatusServiceDriver.java,0,195,1,20,0,1,20,8,8,0,42,55,0
LlapOptionsProcessor.java,0,4,1,25,0,1,25,8,8,0,50,2,0
LlapSliderUtils.java,0,79,1,7,0,1,7,8,8,0,84,9,0
LowLevelLrfuCachePolicy.java,65,0,1,35,0,1,35,236,236,0,36,1,0
LowLevelCacheMemoryManager.java,12,0,1,25,0,1,25,236,236,0,49,0,1
OrcFileMetadata.java,14,0,2,16,0,2,16,369,335,20,81,0,2
ConsumerFileMetadata.java,3,0,2,4,0,2,4,369,335,20,171,0,2
OrcEncodedDataReader.java,2,0,2,93,0,2,93,369,335,20,13,0,2
SerDeEncodedDataReader.java,20,0,2,23,0,2,23,369,335,20,23,0,2
VectorDeserializeOrcWriter.java,41,0,1,5,0,1,5,403,403,0,121,0,1
GenericColumnVectorProducer.java,3,0,2,8,0,2,8,369,335,3,73,0,2
OrcEncodedDataConsumer.java,12,0,3,50,0,3,50,369,335,16,24,0,2
LlapIoImpl.java,3,0,1,55,0,1,55,236,236,0,23,0,1
LlapInputFormat.java,9,0,2,68,0,2,68,320,236,8,20,0,2
LlapRecordReader.java,20,0,3,24,0,3,24,320,236,10,36,2,1
QueryInfo.java,0,0,1,20,0,1,20,8,8,0,59,2,0
package-info.java,0,0,1,93,0,1,93,31,31,0,33,20,0
HiveHBaseInputFormatUtil.java,0,1,1,8,0,1,8,335,335,0,202,0,1
LazyHBaseRow.java,2,0,1,18,0,1,18,335,335,0,177,0,1
HBaseRowSerializer.java,0,0,1,9,0,1,9,335,335,0,187,0,1
Constants.java,1,0,1,58,0,1,58,17,17,0,62,0,1
Context.java,2,0,6,119,1,6,119,168,51,8,30,15,3
RegexSerDe.java,0,0,1,28,0,1,28,335,335,0,120,0,1
HiveConnection.java,0,0,1,109,0,1,109,128,128,0,31,0,1
Utils.java,0,0,1,110,0,1,110,51,51,0,27,1,0
UpgradeTool.java,808,0,1,1,0,1,1,238,238,0,0,161,0
TestUpgradeTool.java,291,0,1,1,0,1,1,238,238,0,0,43,0
TestHiveAccumuloTypes.java,1,0,2,4,0,2,4,335,335,3,468,0,2
TestAccumuloRangeGenerator.java,0,0,1,5,0,1,5,335,335,0,350,0,1
LlapRowRecordReader.java,4,0,1,11,0,1,11,311,311,0,76,1,0
LlapBaseRecordReader.java,0,1,1,11,0,1,11,311,311,0,76,24,0
LlapServiceInstance.java,0,0,1,2,0,1,2,8,8,0,299,2,0
VerifyFast.java,0,0,1,10,0,1,10,335,335,0,129,0,1
SerdeRandomRowSource.java,0,1,1,5,0,1,5,335,335,0,166,0,1
MyTestPrimitiveClass.java,0,5,1,6,0,1,6,335,335,0,232,0,1
MyTestClass.java,0,0,1,16,0,1,16,335,335,0,217,0,1
MyTestClassSmaller.java,0,1,1,9,0,1,9,335,335,0,405,0,1
MyTestClassBigger.java,0,1,1,12,0,1,12,335,335,0,294,0,1
TestLazyPrimitive.java,0,1,1,16,0,1,16,335,335,0,227,0,1
TestTimestampWritableV2.java,520,0,1,1,0,1,1,335,335,0,0,0,1
TestDateWritableV2.java,241,0,1,1,0,1,1,335,335,0,0,4,0
TestStandardObjectInspectors.java,0,0,1,16,0,1,16,335,335,0,237,0,1
TestLazySimpleDeserializeRead.java,84,0,1,1,0,1,1,155,155,0,0,26,0
TestPrimitiveObjectInspectorUtils.java,0,0,1,10,0,1,10,335,335,0,194,0,1
RandomTypeUtil.java,0,0,1,9,0,1,9,335,335,0,107,24,0
Serializer.java,475,0,5,17,0,5,17,93,21,8,222,34,0
JsonSerDe.java,0,0,3,54,0,3,54,369,335,6,36,0,3
Deserializer.java,374,0,5,14,0,5,14,93,21,8,274,50,0
BinarySortableSerDe.java,0,0,1,40,0,1,40,335,335,0,83,0,1
LazyBinaryUtils.java,0,0,1,33,0,1,33,335,335,0,101,0,1
LazyBinaryDate.java,0,0,1,5,0,1,5,335,335,0,447,0,1
LazyBinarySerDe2.java,0,0,1,3,0,1,3,335,335,0,132,0,1
LazyBinarySerDe.java,0,0,1,37,0,1,37,335,335,0,89,0,1
