Name,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments
QueryInfo.java,0,0,6,18,0,6,18,268,16,66,44,1,3
LlapTokenChecker.java,0,0,5,12,0,5,12,704,704,58,23,0,1
LlapProtocolServerImpl.java,0,0,2,10,0,2,10,704,704,13,15,0,0
LlapTaskReporter.java,0,0,5,17,1,5,17,426,225,67,43,1,1
StatsRecordingThreadPool.java,0,0,3,5,0,3,5,526,349,122,61,2,0
QueryFragmentInfo.java,22,0,1,6,0,1,6,16,16,0,152,8,0
LlapConstants.java,0,0,2,4,0,2,4,225,225,2,1,0,0
QueryTracker.java,0,0,8,30,0,8,30,332,48,38,23,9,1
TaskRunnerCallable.java,37,0,15,64,1,15,64,228,16,27,12,4,7
AMReporter.java,38,0,7,26,0,7,26,332,48,14,28,23,3
EvictingPriorityBlockingQueue.java,0,1,3,11,0,3,11,120,16,80,76,12,1
Scheduler.java,0,0,1,7,0,1,7,704,704,0,120,0,1
LlapDaemonMXBean.java,0,0,1,5,0,1,5,704,704,0,192,4,0
PriorityBlockingDeque.java,0,0,2,5,0,2,5,225,225,27,158,2,1
LlapWebServices.java,0,0,2,15,0,2,15,704,704,115,42,0,1
ShortestJobFirstComparator.java,0,0,3,6,0,3,6,138,16,71,133,1,2
FirstInFirstOutComparator.java,0,0,2,4,0,2,4,32,16,136,222,0,2
AbstractHBaseKeyFactory.java,0,0,1,3,0,1,3,284,284,0,374,0,0
package-info.java,0,0,1,54,0,1,54,13,13,0,48,20,0
HiveHFileOutputFormat.java,0,0,2,13,0,2,13,20,20,18,202,0,2
HBaseStorageHandler.java,0,0,2,47,0,2,47,494,284,167,52,0,1
HiveHBaseTableInputFormat.java,0,0,1,35,0,1,35,49,49,0,69,0,0
HBaseSerDe.java,0,0,1,30,0,1,30,704,704,0,84,4,0
HiveBurnInClient.java,0,0,1,3,0,1,3,473,473,0,463,0,1
PTest.java,4,0,9,25,0,9,25,162,100,17,49,0,0
ExecutionPhase.java,29,0,7,14,0,7,14,225,225,7,91,0,1
Phase.java,0,0,1,5,0,1,5,225,225,0,289,0,0
HostExecutor.java,0,0,13,24,0,13,24,162,100,11,51,0,0
Constants.java,5,0,7,51,0,7,51,135,15,46,65,17,4
LocalCommand.java,0,0,4,9,0,4,9,225,225,28,142,0,0
JUnitReportParser.java,20,0,1,5,0,1,5,225,225,0,294,0,0
RSyncCommand.java,1,0,1,2,0,1,2,225,225,0,1181,0,0
RSyncCommandExecutor.java,5,0,1,6,0,1,6,225,225,0,235,0,0
CloudExecutionContextProvider.java,61,0,1,9,0,1,9,100,100,0,145,0,0
FixedExecutionContextProvider.java,4,0,3,4,0,3,4,225,225,0,378,0,0
CloudComputeService.java,148,0,1,7,0,1,7,100,100,0,194,0,0
UnitTestPropertiesParser.java,666,0,5,5,0,5,5,225,225,3,3,0,0
UnitTestBatch.java,36,0,9,13,0,9,13,162,100,17,98,0,0
TestParser.java,0,19,14,21,3,14,21,225,100,8,57,0,0
QFileTestBatch.java,20,0,10,15,0,10,15,162,100,15,84,1,0
TestBatch.java,17,0,9,12,0,9,12,162,100,17,107,0,0
ExecutionContextConfiguration.java,12,0,3,6,0,3,6,225,225,0,227,0,0
FileListProvider.java,31,0,5,5,0,5,5,225,225,3,3,0,0
Context.java,54,0,10,79,0,10,79,323,20,24,39,60,0
TestConfiguration.java,35,0,9,20,0,9,20,225,225,6,62,0,0
PTestClient.java,8,0,3,8,0,3,8,225,225,0,162,0,0
TestExecutor.java,3,0,4,8,0,4,8,225,225,16,168,0,0
ExecutionController.java,4,0,5,8,0,5,8,287,225,4,164,0,0
TestLogger.java,8,0,3,4,0,3,4,225,225,0,378,0,0
TestReportParser.java,0,0,1,5,0,1,5,225,225,0,294,0,0
TestHostExecutor.java,23,0,6,12,0,6,12,225,225,8,107,0,0
AbstractTestPhase.java,1,0,1,3,0,1,3,225,225,0,590,0,0
TestExecutionPhase.java,32,0,10,15,0,10,15,162,100,15,84,0,1
MockRSyncCommandExecutor.java,7,0,5,8,0,5,8,225,225,3,165,0,0
MockSSHCommandExecutor.java,7,0,5,7,0,5,7,225,225,3,192,0,0
TestQFileTestBatch.java,1,0,9,12,0,9,12,162,100,17,107,0,0
TestUnitTestPropertiesParser.java,672,0,5,5,0,5,5,225,225,3,3,0,0
TestTestParser.java,4,0,5,8,0,5,8,225,225,3,165,0,0
TestGenericMR.java,0,5,1,5,0,1,5,550,550,0,647,0,1
TestRegexSerDe.java,0,0,1,6,0,1,6,704,704,0,534,0,1
RegexSerDe.java,1,0,2,25,0,2,25,247,247,0,114,0,2
TypedBytesSerDe.java,1,0,1,13,0,1,13,247,247,0,225,0,1
TypedBytesWritableOutput.java,4,0,1,11,0,1,11,704,704,0,275,1,0
HiveStatementTest.java,10,0,1,6,0,1,6,133,133,0,93,0,1
TestHivePreparedStatement.java,155,0,2,2,0,2,2,248,24,274,274,16,0
TestJdbcDriver.java,98,0,1,56,0,1,56,1,1,0,51,0,0
HiveDatabaseMetaData.java,3,0,2,36,0,2,36,153,133,204,84,0,1
