Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments,Priority
File,BusyException.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,2.0,7.0,4.0,1.0,21.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,17,0,1,17,373,373,0,110,1,0,Trivial or Minor
File,ByteArrayRef.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,42.0,5.0,10.0,5.0,2.0,27.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,2.7,2.0,2.0,2.0,2.0,33.0,58.0,83.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,3,0,1,3,373,373,0,1611,1,0,Trivial or Minor
File,ByteArrayWrapper.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,45.0,5.0,20.0,9.0,6.0,20.0,7.0,12.0,7.0,5.0,2.0,2.0,2.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,1.0,1.5,2.0,2.0,2.0,2.0,1.0,1.5,2.0,0.0,0.5,1.0,45,0,4,4,0,4,4,142,89,55,55,0,0,None
File,ByteObjectInspector.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.2,0.4,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,36.0,4.0,9.0,8.0,0.0,23.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,3.4,5.0,2.56,0.0,0.0,0.0,0.0,1.0,3.6666666666666665,36.0,1.0,2.111111111111111,5.0,0.0,0.9444444444444444,2.0,0.0,0.1111111111111111,1.0,4,0,2,5,0,2,5,224,76,114,800,1,0,Trivial or Minor
File,ByteStream.java,5.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.2857142857142858,5.714285714285714,0.1428571428571428,4.0,0.0,1.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,145.0,26.0,84.0,36.0,31.0,35.0,39.0,58.0,32.0,26.0,5.0,3.0,5.0,2.4285714285714284,31.285714285714285,0.42,17.0,15.0,17.0,13.0,0.0,6.051282051282051,51.0,0.0,2.3076923076923075,13.0,0.0,2.128205128205128,32.0,0.0,0.2307692307692307,2.0,17,0,2,13,0,2,13,200,28,76,285,1,0,Trivial or Minor
File,ByteStreamTypedSerDe.java,6.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,10.5,0.5,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,49.0,8.0,20.0,12.0,7.0,21.0,13.0,16.0,11.0,6.0,1.0,1.0,1.0,3.5,50.0,1.05,2.0,2.0,2.0,2.0,0.0,3.0,7.0,1.0,3.0,5.0,1.0,1.2,2.0,0.0,0.2,1.0,0,0,1,8,0,1,8,373,373,0,489,1,0,Trivial or Minor
File,ByteWritable.java,6.0,0.0,5.0,1.0,2.0,2.0,2.0,1.0,1.3333333333333333,3.6666666666666665,0.0,2.0,0.0,0.0,10.0,10.0,1.0,10.0,0.0,0.0,0.0,10.0,109.0,16.0,61.0,27.0,21.0,32.0,24.0,39.0,22.0,17.0,4.0,4.0,4.0,1.6666666666666667,0.0,0.52,15.0,15.0,15.0,13.0,0.0,1.25,2.0,1.0,1.5,4.0,1.0,1.375,4.0,0.0,0.125,1.0,0,0,2,10,0,2,10,373,373,0,380,2,0,Trivial or Minor
File,ByteWritable.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.3333333333333333,3.6666666666666665,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,47.0,7.0,17.0,10.0,3.0,24.0,9.0,12.0,9.0,3.0,1.0,1.0,1.0,1.6666666666666667,0.0,1.41,2.0,2.0,2.0,2.0,0.0,1.25,2.0,1.0,1.5,4.0,1.0,1.375,4.0,0.0,0.125,1.0,0,0,2,10,0,2,10,373,373,0,380,2,0,Trivial or Minor
File,BytesBytesMultiHashMap.java,15.0,1.0,10.0,4.0,2.0,2.0,2.0,1.0,1.2857142857142858,8.285714285714286,0.2857142857142857,4.0,12.0,13.0,53.0,41.0,22.0,53.0,2.0,19.0,0.0,32.0,1023.0,122.0,564.0,209.0,366.0,344.0,336.0,439.0,200.0,296.0,10.0,10.0,10.0,1.2857142857142858,40.142857142857146,0.61,108.0,108.0,111.0,71.0,1.0,5.388059701492537,17.0,0.0,4.477611940298507,27.0,0.0,3.388059701492537,102.0,0.0,0.5074626865671642,2.0,13,0,4,22,0,4,22,231,89,87,64,1,0,Trivial or Minor
File,BytesColumnVector.java,19.0,1.0,12.0,7.0,3.0,3.0,3.0,1.0,1.0,5.5,0.0,1.0,0.0,3.0,25.0,25.0,8.0,25.0,0.0,0.0,0.0,25.0,580.0,57.0,316.0,63.0,200.0,212.0,165.0,236.0,62.0,174.0,15.0,15.0,16.0,1.5,35.0,0.67,70.0,70.0,77.0,25.0,0.0,10.147058823529411,62.0,1.0,4.970588235294118,14.0,1.0,3.588235294117647,16.0,0.0,1.1470588235294117,5.0,94,0,4,30,0,4,30,258,143,54,62,53,1,Trivial or Minor
