Name,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments
OrcProto.java,16,0,3,22,0,3,22,268,84,62,52,16,0
TestVectorOrcFile.java,22,0,8,11,0,8,11,112,44,28,20,30,2
TestOrcTimezone1.java,0,5,1,4,0,1,4,84,84,0,141,0,1
TestColumnStatistics.java,15,0,3,11,0,3,11,97,84,100,56,2,1
TestOrcTimezone2.java,1,0,1,3,0,1,3,84,84,0,211,0,1
TestOrcNullOptimization.java,15,0,2,10,0,2,10,84,84,200,117,0,1
TestTypeDescription.java,0,0,5,7,0,5,7,64,44,50,43,0,4
TestNewIntegerEncoding.java,31,0,3,16,0,3,16,84,84,100,67,0,1
TestUnrolledBitPack.java,0,0,2,5,0,2,5,84,84,200,176,0,1
TestStringDictionary.java,29,0,2,4,0,2,4,84,84,200,208,0,1
TestInStream.java,0,0,2,8,0,2,8,298,84,37,144,0,0
TestOrcWideTable.java,0,0,1,4,0,1,4,84,84,0,233,0,1
TestRunLengthIntegerReader.java,0,0,2,7,0,2,7,298,84,37,168,0,0
TestRunLengthByteReader.java,0,0,2,7,0,2,7,298,84,37,168,0,0
TestOutStream.java,43,0,1,1,0,1,1,84,84,0,0,17,0
TestDynamicArray.java,0,0,1,3,0,1,3,84,84,0,486,0,0
TestZlib.java,0,0,1,3,0,1,3,84,84,0,486,0,0
TestRecordReaderImpl.java,65,0,6,31,0,6,31,105,22,40,33,3,3
TestBitFieldReader.java,0,0,2,7,0,2,7,298,84,37,168,0,0
TestColumnStatisticsImpl.java,64,0,1,1,0,1,1,3,3,0,0,0,0
TestRLEv2.java,10,0,2,3,0,2,3,146,84,169,84,0,1
TestMemoryManager.java,0,0,1,6,0,1,6,84,84,0,187,0,0
TestIntegerCompressionReader.java,0,0,2,11,0,2,11,298,84,37,85,0,0
TestStringRedBlackTree.java,0,0,1,6,0,1,6,84,84,0,194,0,0
TestDataReaderProperties.java,86,0,3,3,0,3,3,140,84,18,18,17,2
TestSerializationUtils.java,37,0,2,9,0,2,9,146,84,149,140,0,1
TestStreamName.java,0,1,2,4,0,2,4,84,84,200,390,0,1
TestReaderImpl.java,152,0,2,2,0,2,2,298,84,66,66,14,1
TestBitPack.java,0,0,2,8,0,2,8,298,84,37,121,0,0
TestFileDump.java,68,0,2,19,0,2,19,84,84,157,65,1,0
TestJsonFileDump.java,11,0,2,4,0,2,4,84,84,200,126,0,1
DoubleColumnStatistics.java,0,0,1,3,0,1,3,84,84,0,486,0,0
BinaryColumnStatistics.java,0,0,1,3,0,1,3,84,84,0,381,0,0
ColumnStatistics.java,0,0,3,24,0,3,24,30,3,24,49,0,0
FileMetaInfo.java,0,0,1,5,0,1,5,84,84,0,60,0,0
DataReader.java,18,0,3,6,0,3,6,146,84,88,54,7,0
FileMetadata.java,0,0,2,5,0,2,5,298,84,134,93,0,1
StripeStatistics.java,0,0,1,3,0,1,3,84,84,0,362,0,0
StripeInformation.java,0,0,1,4,0,1,4,84,84,0,324,0,0
StringColumnStatistics.java,0,0,1,4,0,1,4,84,84,0,324,0,0
OrcConf.java,2,0,2,6,0,2,6,53,22,220,67,0,1
BooleanColumnStatistics.java,0,0,1,3,0,1,3,84,84,0,486,0,0
FileFormatException.java,0,0,1,2,0,1,2,84,84,0,328,0,1
BloomFilterIO.java,0,0,2,5,0,2,5,84,84,42,57,0,0
OrcUtils.java,78,0,4,11,0,4,11,64,44,58,44,18,0
OrcFile.java,0,0,8,55,0,8,55,104,20,28,21,11,2
CompressionKind.java,0,0,2,5,0,2,5,84,84,0,243,0,0
Writer.java,0,0,3,12,0,3,12,84,84,21,92,0,0
TypeDescription.java,62,0,7,11,0,7,11,64,44,33,25,0,4
DateColumnStatistics.java,0,0,1,4,0,1,4,84,84,0,275,0,0
Reader.java,0,0,9,46,0,9,46,213,44,25,26,21,1
IntegerColumnStatistics.java,0,0,1,3,0,1,3,84,84,0,486,0,0
TimestampColumnStatistics.java,0,0,1,4,0,1,4,84,84,0,144,0,0
DecimalColumnStatistics.java,0,0,1,3,0,1,3,84,84,0,468,0,0
RecordReader.java,0,0,5,26,0,5,26,64,44,44,97,15,0
CompressionCodec.java,0,0,1,7,0,1,7,84,84,0,161,0,0
DirectDecompressionCodec.java,0,0,1,3,0,1,3,84,84,0,307,0,0
PositionProvider.java,0,0,1,5,0,1,5,84,84,0,242,0,0
IntegerWriter.java,0,0,1,5,0,1,5,84,84,0,203,0,0
HadoopShims.java,0,105,7,111,0,7,111,549,84,33,22,136,2
WriterImpl.java,0,2,14,74,0,14,74,112,44,13,15,18,6
MemoryManager.java,0,0,2,16,0,2,16,81,78,121,69,0,0
HadoopShims_2_2.java,65,0,2,3,0,2,3,84,84,200,100,1,0
SerializationUtils.java,14,0,2,13,0,2,13,146,84,149,93,0,1
OutStream.java,0,0,2,9,0,2,9,84,84,130,137,0,1
BitFieldWriter.java,0,0,1,3,0,1,3,84,84,0,486,0,0
DynamicIntArray.java,0,0,1,4,0,1,4,84,84,0,324,0,0
RunLengthByteReader.java,24,0,4,14,0,4,14,64,44,58,88,24,0
OrcIndex.java,0,0,1,2,0,1,2,84,84,0,0,0,0
StreamName.java,0,0,1,5,0,1,5,84,84,0,242,0,0
StringRedBlackTree.java,0,0,1,7,0,1,7,84,84,0,163,0,0
ColumnStatisticsImpl.java,0,0,1,21,0,1,21,84,84,0,48,0,0
ZlibCodec.java,0,0,1,6,0,1,6,84,84,0,194,0,0
PositionRecorder.java,0,0,1,3,0,1,3,84,84,0,486,0,0
RecordReaderImpl.java,0,294,12,156,0,12,156,212,44,18,7,362,5
SnappyCodec.java,0,0,1,5,0,1,5,84,84,0,242,0,0
DynamicByteArray.java,0,0,1,7,0,1,7,84,84,0,161,0,0
RunLengthIntegerReaderV2.java,16,0,5,18,0,5,18,112,44,43,58,0,4
IntegerReader.java,15,0,6,13,0,6,13,112,44,39,84,36,2
SettableUncompressedStream.java,0,0,2,11,0,2,11,298,84,37,28,0,0
RunLengthIntegerWriter.java,0,0,1,7,0,1,7,84,84,0,162,0,0
OrcAcidUtils.java,85,0,1,1,0,1,1,84,84,0,0,30,0
SchemaEvolution.java,3,0,6,8,0,6,8,64,44,39,28,85,1
ReaderImpl.java,0,0,18,78,0,18,78,174,20,12,15,160,7
ConvertTreeReaderFactory.java,2840,0,2,2,0,2,2,64,44,17,17,301,0
RunLengthByteWriter.java,0,0,1,3,0,1,3,84,84,0,486,0,0
InStream.java,2,0,4,60,0,4,60,298,84,58,19,1,1
DataReaderProperties.java,124,0,3,3,0,3,3,140,84,18,18,17,2
PositionedOutputStream.java,0,0,1,4,0,1,4,84,84,0,324,0,0
BitFieldReader.java,1,0,4,14,0,4,14,64,44,58,88,0,3
BufferChunk.java,0,0,1,2,0,1,2,84,84,0,0,0,0
HadoopShimsCurrent.java,30,0,2,3,0,2,3,84,84,200,100,0,1
AcidStats.java,60,0,1,1,0,1,1,84,84,0,0,20,0
ZeroCopyShims.java,3,0,2,4,0,2,4,84,84,200,278,0,1
RecordReaderUtils.java,96,0,4,29,0,4,29,146,84,66,16,4,1
RunLengthIntegerWriterV2.java,0,0,2,14,0,2,14,146,84,30,64,0,0
RunLengthIntegerReader.java,16,0,5,17,0,5,17,112,44,43,71,0,4
TreeReaderFactory.java,0,423,10,22,0,10,22,112,44,22,19,178,1
RedBlackTree.java,0,0,1,4,0,1,4,84,84,0,324,0,0
JsonFileDump.java,14,0,6,12,1,6,12,268,84,40,35,0,2
FileDump.java,66,0,7,42,2,7,42,248,84,34,28,0,2
GenVectorCode.java,333,0,3,30,0,3,30,44,44,54,33,34,1
MiniLlapCluster.java,60,0,9,20,0,9,20,221,78,19,22,3,3
TestLowLevelCacheImpl.java,0,0,1,23,0,1,23,511,511,0,16,0,0
TestOrcMetadataCache.java,13,0,2,9,0,2,9,511,511,1,51,0,2
TestBuddyAllocator.java,16,0,3,19,0,3,19,294,78,70,27,0,1
TestLowLevelLrfuCachePolicy.java,0,0,3,16,0,3,16,511,511,22,24,0,0
TestIncrementalObjectSizeEstimator.java,27,0,2,10,0,2,10,84,84,175,45,0,1
TestLlapSignerImpl.java,200,0,1,1,0,1,1,511,511,0,0,29,0
TestTaskExecutorService.java,105,0,4,20,0,4,20,276,109,57,21,2,1
TaskExecutorTestHelpers.java,5,0,8,12,0,8,12,269,109,18,26,0,6
TestQueryIdentifier.java,0,0,2,4,0,2,4,310,109,7,2,0,0
