key,priority,filename
HIVE-16683,Major,orc/src/java/org/apache/orc/OrcFile.java
HIVE-16683,Major,orc/src/test/org/apache/orc/TestVectorOrcFile.java
HIVE-16193,Major,ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
HIVE-16094,Critical,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/AMReporter.java
HIVE-16094,Critical,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/ContainerRunnerImpl.java
HIVE-16094,Critical,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/TaskRunnerCallable.java
HIVE-16094,Critical,llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskCommunicator.java
HIVE-16050,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java
HIVE-16050,Major,ql/src/test/queries/clientpositive/union_null.q
HIVE-16050,Major,ql/src/test/results/clientpositive/spark/union_null.q.out
HIVE-16050,Major,ql/src/test/results/clientpositive/union_null.q.out
HIVE-15958,Major,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/AMReporter.java
HIVE-15958,Major,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/ContainerRunnerImpl.java
HIVE-15958,Major,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/QueryInfo.java
HIVE-15958,Major,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/QueryTracker.java
HIVE-15958,Major,llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/TaskExecutorTestHelpers.java
HIVE-15951,Critical,druid-handler/src/java/org/apache/hadoop/hive/druid/io/DruidRecordWriter.java
HIVE-15994,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java
HIVE-15994,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-15994,Major,ql/src/test/queries/clientpositive/groupby_grouping_sets_grouping.q
HIVE-15994,Major,ql/src/test/queries/clientpositive/groupby_grouping_window.q
HIVE-15994,Major,ql/src/test/results/clientpositive/groupby_grouping_sets_grouping.q.out
HIVE-15994,Major,ql/src/test/results/clientpositive/groupby_grouping_window.q.out
HIVE-16023,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/stats/annotation/StatsRulesProcFactory.java
HIVE-16023,Major,ql/src/test/results/clientpositive/remove_exprs_stats.q.out
HIVE-16013,Major,llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskSchedulerService.java
HIVE-16013,Major,llap-tez/src/test/org/apache/hadoop/hive/llap/tezplugins/TestLlapTaskSchedulerService.java
HIVE-16028,Major,itests/util/src/main/java/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/SQLStdHiveAuthorizationValidatorForTest.java
HIVE-16028,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-16028,Major,ql/src/test/queries/clientpositive/masking_acid_no_masking.q
HIVE-16028,Major,ql/src/test/results/clientpositive/masking_acid_no_masking.q.out
HIVE-16033,Major,llap-server/bin/runLlapDaemon.sh
