key,priority,filename
HIVE-16577,Blocker,metastore/scripts/upgrade/mssql/hive-schema-2.2.0.mssql.sql
HIVE-16577,Blocker,metastore/scripts/upgrade/mssql/hive-schema-2.3.0.mssql.sql
HIVE-16301,Blocker,accumulo-handler/pom.xml
HIVE-16301,Blocker,beeline/pom.xml
HIVE-16301,Blocker,cli/pom.xml
HIVE-16301,Blocker,common/pom.xml
HIVE-16301,Blocker,contrib/pom.xml
HIVE-16301,Blocker,druid-handler/pom.xml
HIVE-16301,Blocker,hbase-handler/pom.xml
HIVE-16301,Blocker,hcatalog/core/pom.xml
HIVE-16301,Blocker,hcatalog/hcatalog-pig-adapter/pom.xml
HIVE-16301,Blocker,hcatalog/pom.xml
HIVE-16301,Blocker,hcatalog/server-extensions/pom.xml
HIVE-16301,Blocker,hcatalog/streaming/pom.xml
HIVE-16301,Blocker,hcatalog/webhcat/java-client/pom.xml
HIVE-16301,Blocker,hcatalog/webhcat/svr/pom.xml
HIVE-16301,Blocker,hplsql/pom.xml
HIVE-16301,Blocker,itests/custom-serde/pom.xml
HIVE-16301,Blocker,itests/custom-udfs/pom.xml
HIVE-16301,Blocker,itests/custom-udfs/udf-classloader-udf1/pom.xml
HIVE-16301,Blocker,itests/custom-udfs/udf-classloader-udf2/pom.xml
HIVE-16301,Blocker,itests/custom-udfs/udf-classloader-util/pom.xml
HIVE-16301,Blocker,itests/custom-udfs/udf-vectorized-badexample/pom.xml
HIVE-16301,Blocker,itests/hcatalog-unit/pom.xml
HIVE-16301,Blocker,itests/hive-blobstore/pom.xml
HIVE-16301,Blocker,itests/hive-jmh/pom.xml
HIVE-16301,Blocker,itests/hive-minikdc/pom.xml
HIVE-16301,Blocker,itests/hive-unit-hadoop2/pom.xml
HIVE-16301,Blocker,itests/hive-unit/pom.xml
HIVE-16301,Blocker,itests/hive-unit/src/test/java/org/apache/hive/beeline/TestSchemaTool.java
HIVE-16301,Blocker,itests/pom.xml
HIVE-16301,Blocker,itests/qtest-accumulo/pom.xml
HIVE-16301,Blocker,itests/qtest-spark/pom.xml
HIVE-16301,Blocker,itests/qtest/pom.xml
HIVE-16301,Blocker,itests/test-serde/pom.xml
HIVE-16301,Blocker,itests/util/pom.xml
HIVE-16301,Blocker,jdbc-handler/pom.xml
HIVE-16301,Blocker,jdbc/pom.xml
HIVE-16301,Blocker,llap-client/pom.xml
HIVE-16301,Blocker,llap-common/pom.xml
HIVE-16301,Blocker,llap-ext-client/pom.xml
