key,priority,filename
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/CompilationOpContext.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/Context.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/Driver.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/AbstractFileMergeOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/AbstractMapJoinOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/AppMasterEventOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/CollectOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/ColumnStatsTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/ColumnStatsUpdateTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/CommonJoinOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/CommonMergeJoinOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/ConditionalTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/DemuxOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/DummyStoreOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/FetchTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/FileSinkOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/FilterOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/ForwardOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/GroupByOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableDummyOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/JoinOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/LateralViewForwardOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/LateralViewJoinOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/LimitOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/ListSinkOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/MapJoinOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/MapOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/MuxOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/Operator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/OperatorFactory.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/OrcFileMergeOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/PTFOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/RCFileMergeOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/ReduceSinkOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/SMBMapJoinOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/ScriptOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/SelectOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/SerializationUtilities.java
