Name,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments
OrcProto.java,7,0,2,19,0,2,19,238,78,37,56,54,0
TestInStream.java,1,0,3,6,0,3,6,204,78,146,201,0,2
TestRunLengthIntegerReader.java,1,0,3,5,0,3,5,204,78,146,252,0,2
TestRunLengthByteReader.java,1,0,3,5,0,3,5,204,78,146,252,0,2
TestDynamicArray.java,3,0,1,2,0,1,2,78,78,0,971,0,1
TestZlib.java,1,0,1,2,0,1,2,78,78,0,971,0,1
TestBitFieldReader.java,0,1,3,5,0,3,5,204,78,146,252,0,2
TestMemoryManager.java,1,0,2,5,0,2,5,78,78,9,234,0,2
TestIntegerCompressionReader.java,0,0,5,9,0,5,9,204,78,75,106,0,2
TestStringRedBlackTree.java,0,54,1,5,0,1,5,78,78,0,243,0,1
TestSerializationUtils.java,0,0,1,7,0,1,7,78,78,0,161,0,1
TestBitPack.java,0,37,3,6,0,3,6,204,78,146,169,0,2
DoubleColumnStatistics.java,2,0,1,2,0,1,2,78,78,0,971,0,1
BinaryColumnStatistics.java,2,0,1,2,0,1,2,78,78,0,762,0,1
ColumnStatistics.java,4,0,8,21,0,8,21,160,13,15,54,4,5
FileMetaInfo.java,64,0,4,4,0,4,4,238,78,79,79,0,2
DataReader.java,58,0,3,3,0,3,3,238,78,48,48,36,2
FileMetadata.java,64,0,3,3,0,3,3,238,78,120,120,0,1
StripeStatistics.java,2,0,1,2,0,1,2,78,78,0,723,0,1
StripeInformation.java,0,0,1,3,0,1,3,78,78,0,486,0,1
StringColumnStatistics.java,2,0,1,3,0,1,3,78,78,0,486,0,1
OrcConf.java,191,0,4,4,0,4,4,43,8,38,38,20,3
BooleanColumnStatistics.java,2,0,1,2,0,1,2,78,78,0,971,0,1
BloomFilterIO.java,0,1,3,4,0,3,4,206,78,114,76,0,2
OrcUtils.java,249,0,6,7,0,6,7,428,16,37,47,62,2
OrcFile.java,0,175,23,48,0,23,48,166,16,15,21,220,6
CompressionKind.java,14,0,2,3,0,2,3,78,78,0,486,24,0
Writer.java,0,68,5,9,0,5,9,78,78,25,126,150,0
TypeDescription.java,544,0,4,4,0,4,4,78,78,33,33,89,3
DateColumnStatistics.java,2,0,2,4,0,2,4,117,78,184,275,0,1
Reader.java,0,250,27,37,0,27,37,157,16,17,28,374,6
IntegerColumnStatistics.java,2,0,1,2,0,1,2,78,78,0,971,0,1
TimestampColumnStatistics.java,0,0,1,3,0,1,3,78,78,0,216,0,1
DecimalColumnStatistics.java,1,0,1,2,0,1,2,78,78,0,935,0,1
RecordReader.java,0,36,14,21,3,14,21,204,78,31,113,74,1
CompressionCodec.java,0,0,2,6,0,2,6,106,78,296,194,0,1
DirectDecompressionCodec.java,2,0,1,2,0,1,2,78,78,0,614,0,1
PositionProvider.java,0,0,2,4,0,2,4,106,78,264,323,0,1
IntegerWriter.java,0,0,1,4,0,1,4,78,78,0,270,0,1
HadoopShims.java,18,0,22,108,1,22,108,293,6,13,21,52,6
WriterImpl.java,0,2238,16,61,0,16,61,343,1,20,16,675,6
MemoryManager.java,0,162,10,14,1,10,14,496,46,33,71,10,5
HadoopShims_2_2.java,36,0,1,1,0,1,1,78,78,0,0,20,0
SerializationUtils.java,6,0,2,11,0,2,11,106,78,264,97,1,0
OutStream.java,3,0,2,7,0,2,7,238,78,82,162,0,2
BitFieldWriter.java,4,0,1,2,0,1,2,78,78,0,971,0,1
DynamicIntArray.java,0,0,1,3,0,1,3,78,78,0,486,0,1
RunLengthByteReader.java,8,0,5,10,0,5,10,204,78,102,108,0,1
OrcIndex.java,43,0,1,1,0,1,1,78,78,0,0,17,0
StreamName.java,2,0,2,4,0,2,4,238,78,82,323,0,2
StringRedBlackTree.java,8,0,2,6,0,2,6,78,78,9,196,0,2
ColumnStatisticsImpl.java,132,0,6,21,0,6,21,117,78,38,48,0,4
MetadataReaderImpl.java,125,0,7,7,0,7,7,238,78,44,44,0,4
ZlibCodec.java,0,2,1,5,0,1,5,78,78,0,242,0,1
PositionRecorder.java,0,0,1,2,0,1,2,78,78,0,971,0,1
MetadataReader.java,0,87,11,13,1,11,13,192,78,26,22,0,3
SnappyCodec.java,0,1,1,4,0,1,4,78,78,0,323,0,1
DynamicByteArray.java,0,0,2,6,0,2,6,106,78,264,194,0,1
RunLengthIntegerReaderV2.java,26,0,8,13,0,8,13,446,78,58,67,0,3
IntegerReader.java,3,0,5,7,0,5,7,204,78,102,135,0,1
SettableUncompressedStream.java,44,0,9,9,0,9,9,204,78,35,35,0,3
RunLengthIntegerWriter.java,0,0,1,6,0,1,6,78,78,0,194,0,1
RunLengthByteWriter.java,0,0,1,2,0,1,2,78,78,0,971,0,1
InStream.java,46,0,49,56,10,49,56,446,78,6,18,150,3
PositionedOutputStream.java,1,0,1,3,0,1,3,78,78,0,486,0,1
BitFieldReader.java,96,0,5,10,0,5,10,204,78,102,108,0,1
BufferChunk.java,85,0,1,1,0,1,1,78,78,0,0,22,0
HadoopShimsCurrent.java,62,0,1,1,0,1,1,78,78,0,0,20,0
RunLengthIntegerWriterV2.java,0,1,2,12,0,2,12,117,78,30,76,8,1
RunLengthIntegerReader.java,8,0,5,12,0,5,12,204,78,102,88,0,1
RedBlackTree.java,2,0,1,3,0,1,3,78,78,0,486,0,1
QTestGenTask.java,34,0,9,35,1,9,35,188,23,29,75,2,2
GenVectorCode.java,56,0,4,27,0,4,27,12,3,26,28,3,3
MiniLlapCluster.java,193,0,11,11,1,11,11,362,46,27,27,0,6
TestLowLevelCacheImpl.java,520,0,22,22,4,22,22,665,134,16,16,0,5
TestOrcMetadataCache.java,116,0,7,7,0,7,7,930,399,38,38,0,4
TestBuddyAllocator.java,279,0,16,16,2,16,16,665,134,24,24,0,8
TestLowLevelLrfuCachePolicy.java,354,0,13,13,1,13,13,665,134,30,30,4,4
TestIncrementalObjectSizeEstimator.java,232,0,8,8,0,8,8,646,78,33,33,0,5
TestTaskExecutorService.java,277,0,16,16,2,16,16,118,63,16,16,22,2
TaskExecutorTestHelpers.java,264,0,4,4,1,4,4,63,63,52,52,12,3
TestQueryIdentifier.java,66,0,2,2,0,2,2,231,63,7,7,17,1
TestLlapDaemonProtocolServerImpl.java,74,0,11,11,0,11,11,240,46,36,36,0,4
TestShortestJobFirstComparator.java,199,0,1,1,0,1,1,63,63,0,0,18,0
TestFirstInFirstOutComparator.java,322,0,2,2,0,2,2,63,63,157,157,0,2
ConsumerFeedback.java,33,0,3,3,0,3,3,399,399,7,7,0,0
IncrementalObjectSizeEstimator.java,628,0,4,4,0,4,4,399,399,30,30,0,1
LlapServiceDriver.java,385,0,19,19,0,19,19,343,44,18,18,23,7
LlapOptionsProcessor.java,207,0,9,9,0,9,9,488,44,39,39,1,4
FadvisedChunkedFile.java,78,0,2,2,0,2,2,998,535,271,271,0,1
IndexCache.java,199,0,2,2,0,2,2,998,535,271,271,0,1
FadvisedFileRegion.java,160,0,2,2,0,2,2,998,535,271,271,0,1
ShuffleHandler.java,1077,0,10,10,0,10,10,523,63,40,40,24,3
AttemptRegistrationListener.java,24,0,1,1,0,1,1,63,63,0,0,0,0
DirWatcher.java,414,0,3,3,0,3,3,762,63,111,111,0,1
CachePolicy.java,34,0,2,6,0,2,6,399,399,111,416,0,0
ChunkPool.java,237,0,3,3,0,3,3,399,399,57,57,0,0
BufferPool.java,225,0,3,3,0,3,3,399,399,57,57,0,0
BufferInProgress.java,82,0,2,2,0,2,2,399,399,111,111,0,0
KilledTaskHandler.java,30,0,3,3,0,3,3,63,63,128,128,0,2
ContainerRunner.java,37,0,5,5,0,5,5,251,63,80,80,0,1
FinishableStateUpdateHandler.java,21,0,1,1,0,1,1,63,63,0,0,0,0
HistoryLogger.java,162,0,4,4,0,4,4,762,63,107,107,0,2
QueryFailedHandler.java,22,0,2,2,0,2,2,63,63,221,221,12,1
FragmentCompletionHandler.java,22,0,1,1,0,1,1,63,63,0,0,0,0
EvictionDispatcher.java,52,0,1,1,0,1,1,399,399,0,0,0,0
LowLevelCache.java,62,0,18,18,4,18,18,399,399,21,21,7,1
LowLevelCacheCounters.java,26,0,2,2,0,2,2,399,399,62,62,17,1
Cache.java,27,0,6,6,1,6,6,399,399,43,43,0,2
SimpleAllocator.java,116,0,1,1,0,1,1,399,399,0,0,18,0
BuddyAllocatorMXBean.java,62,0,1,1,0,1,1,134,134,0,0,0,0
NoopCache.java,33,0,6,6,1,6,6,399,399,43,43,0,2
EvictionAwareAllocator.java,30,0,3,3,0,3,3,399,399,54,54,0,2
LlapOomDebugDump.java,23,0,1,1,0,1,1,399,399,0,0,0,0
LowLevelCacheImpl.java,540,0,36,36,8,36,36,665,134,10,10,3,6
LowLevelLrfuCachePolicy.java,481,0,19,19,1,19,19,930,399,20,20,2,5
LlapDataBuffer.java,142,0,5,5,0,5,5,399,399,39,39,0,2
LowLevelCacheMemoryManager.java,146,0,14,14,0,14,14,665,134,24,24,0,7
SimpleBufferManager.java,78,0,1,1,0,1,1,399,399,0,0,17,0
EvictionListener.java,23,0,3,3,0,3,3,399,399,88,88,0,0
LowLevelCachePolicy.java,30,0,7,7,1,7,7,399,399,33,33,0,1
BufferUsageManager.java,39,0,1,1,0,1,1,399,399,0,0,22,0
LowLevelFifoCachePolicy.java,113,0,10,10,0,10,10,930,399,32,32,0,3
BuddyAllocator.java,583,0,22,22,2,22,22,665,134,17,17,36,9
LlapCacheableBuffer.java,56,0,10,10,3,10,10,266,134,11,11,0,0
LlapDaemonPolicyProvider.java,38,0,2,2,0,2,2,231,63,53,53,17,1
LlapServerSecurityInfo.java,78,0,2,2,0,2,2,231,63,53,53,13,1
LlapSecurityHelper.java,155,0,2,2,0,2,2,231,63,53,53,21,1
SecretManager.java,91,0,1,1,0,1,1,399,399,0,0,15,0
QueryFragmentCounters.java,143,0,5,5,0,5,5,266,134,35,35,2,3
LlapDaemonExecutorInfo.java,56,0,4,4,0,4,4,98,63,22,22,0,0
LlapDaemonExecutorMetrics.java,196,0,4,4,0,4,4,98,63,22,22,0,0
LlapDaemonCustomMetricsInfo.java,43,0,2,2,0,2,2,134,134,3,3,0,0
LlapDaemonCacheInfo.java,56,0,2,2,0,2,2,134,134,4,4,0,0
LlapMetricsSystem.java,57,0,1,1,0,1,1,134,134,0,0,0,0
LlapDaemonCacheMetrics.java,151,0,5,5,0,5,5,266,134,69,69,0,1
MetricsUtils.java,44,0,2,2,0,2,2,134,134,4,4,0,0
LlapDaemonQueueMetrics.java,116,0,1,1,0,1,1,134,134,0,0,0,0
LlapDaemonQueueInfo.java,50,0,1,1,0,1,1,134,134,0,0,0,0
OrcFileMetadata.java,224,0,7,7,0,7,7,204,78,45,45,0,1
OrcStripeMetadata.java,157,0,17,17,3,17,17,204,78,16,16,0,3
OrcMetadataCache.java,91,0,14,14,0,14,14,266,134,16,16,0,2
CompressionBuffer.java,119,0,1,1,0,1,1,134,134,0,0,0,0
OrcEncodedDataReader.java,1019,0,43,43,0,43,43,427,63,7,7,37,14
ReadPipeline.java,27,0,1,1,0,1,1,399,399,0,0,0,0
OrcColumnVectorProducer.java,82,0,26,26,1,26,26,665,134,14,14,0,6
EncodedDataConsumer.java,194,0,11,11,1,11,11,266,134,24,24,2,3
ColumnVectorProducer.java,36,0,16,16,3,16,16,266,134,23,23,0,3
OrcEncodedDataConsumer.java,161,0,21,21,0,21,21,204,78,12,12,0,6
LlapIoImpl.java,170,0,28,28,1,28,28,514,63,13,13,9,5
LlapInputFormat.java,354,0,25,25,0,25,25,503,16,19,19,0,7
ColumnVectorBatch.java,46,0,3,3,0,3,3,266,134,40,40,0,0
QueryIdentifier.java,63,0,1,1,0,1,1,63,63,0,0,15,0
ContainerRunnerImpl.java,381,0,34,34,2,34,34,222,44,11,11,5,12
LlapDaemon.java,442,0,40,40,2,40,40,178,44,9,9,19,17
TaskExecutorService.java,738,0,25,25,2,25,25,188,63,11,11,103,3
QueryInfo.java,273,0,6,6,0,6,6,63,63,50,50,1,3
LlapProtocolServerImpl.java,251,0,1,1,0,1,1,63,63,0,0,0,1
LlapTaskReporter.java,453,0,6,6,1,6,6,63,63,58,58,2,1
QueryFragmentInfo.java,174,0,4,4,0,4,4,63,63,85,85,1,1
QueryTracker.java,327,0,10,10,0,10,10,231,63,30,30,27,2
TaskRunnerCallable.java,495,0,28,28,4,28,28,443,63,10,10,10,11
AMReporter.java,476,0,13,13,0,13,13,641,63,24,24,4,6
EvictingPriorityBlockingQueue.java,76,0,6,6,0,6,6,110,63,1,1,0,0
Scheduler.java,47,0,4,4,1,4,4,188,63,81,81,6,1
LlapDaemonMXBean.java,83,0,3,3,0,3,3,199,63,45,45,4,0
PriorityBlockingDeque.java,767,0,1,1,0,1,1,156,156,0,0,0,0
LlapWebApp.java,29,0,2,2,0,2,2,399,399,182,182,17,0
LlapWebServices.java,86,0,6,6,0,6,6,930,399,44,44,18,3
ShortestJobFirstComparator.java,70,0,1,1,0,1,1,63,63,0,0,19,0
FirstInFirstOutComparator.java,81,0,1,1,0,1,1,63,63,0,0,23,0
HBaseTestStructSerializer.java,0,0,1,5,0,1,5,168,168,0,56,0,0
LazyHBaseCellMapTest.java,72,0,1,1,1,1,1,36,36,0,0,18,0
TestHBaseSerDe.java,0,0,1,17,0,1,17,2,2,0,127,0,1
ColumnMappings.java,5,0,1,5,1,1,5,36,36,0,120,0,1
HBaseSerDeParameters.java,2,0,2,13,1,2,13,19,2,29,47,0,2
LazyHBaseCellMap.java,13,0,1,7,1,1,7,36,36,0,334,2,0
AbstractHBaseKeyPredicateDecomposer.java,0,0,1,2,0,1,2,1462,1462,0,519,0,1
HiveHBaseInputFormatUtil.java,4,0,1,3,0,1,3,5,5,0,190,11,0
HiveHFileOutputFormat.java,0,0,1,10,0,1,10,1462,1462,0,224,0,1
HBaseStorageHandler.java,0,5,3,45,1,3,45,749,36,92,46,0,2
HiveHBaseTableSnapshotInputFormat.java,5,0,1,2,0,1,2,149,149,0,412,4,0
HiveHBaseTableInputFormat.java,14,0,4,32,0,4,32,448,5,13,67,20,3
LazyHBaseRow.java,1,0,1,15,1,1,15,36,36,0,143,0,1
CompositeHBaseKeyFactory.java,0,0,1,3,0,1,3,1462,1462,0,266,0,1
HBaseSerDe.java,15,0,4,29,1,4,29,388,21,16,73,8,3
HiveHBaseTableOutputFormat.java,9,0,2,12,0,2,12,816,169,0,186,0,2
HBaseSerDeHelper.java,1,0,2,7,0,2,7,732,2,20,68,0,2
HBaseTableSnapshotInputFormatUtil.java,0,0,1,2,0,1,2,1462,1462,0,449,0,1
HBaseLazyObjectFactory.java,28,0,1,5,0,1,5,21,21,0,133,0,1
AvroHBaseValueFactory.java,1,0,1,6,0,1,6,2,2,0,78,0,1
JIRAService.java,27,0,3,13,0,3,13,169,169,6,68,0,3
PTest.java,15,0,2,15,0,2,15,169,169,144,57,0,1
TestCheckPhase.java,77,0,1,1,0,1,1,169,169,0,0,17,0
Context.java,6,0,5,61,0,5,61,409,34,64,44,0,4
TestConfiguration.java,4,0,1,11,0,1,11,169,169,0,66,0,0
TestScripts.java,23,0,1,10,0,1,10,169,169,0,72,0,0
TestTestCheckPhase.java,91,0,1,1,0,1,1,169,169,0,0,17,0
TestJIRAService.java,87,0,1,4,0,1,4,169,169,0,271,0,1
TestTestConfiguration.java,22,0,1,2,0,1,2,169,169,0,661,0,0
