Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments,Priority
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,3.0,3.0,2.0,1.0,7.5,0.0,1.0,0.0,3.0,10.0,10.0,2.0,10.0,0.0,3.0,0.0,7.0,167.0,22.0,125.0,38.0,70.0,20.0,57.0,89.0,37.0,58.0,11.0,11.0,13.0,1.0,22.5,0.16,29.0,29.0,32.0,22.0,1.0,3.9,13.0,1.0,4.4,12.0,1.0,5.8,40.0,0.0,0.9,3.0,0,0,1,2,0,1,2,225,225,0,3,20,0,None
File,AMReporter.java,12.0,0.0,11.0,1.0,2.0,2.0,2.0,1.0,1.1111111111111112,12.555555555555555,0.0,9.0,0.0,1.0,35.0,35.0,31.0,35.0,10.0,1.0,3.0,21.0,563.0,70.0,439.0,161.0,227.0,54.0,208.0,288.0,143.0,170.0,7.0,7.0,9.0,1.8888888888888888,17.22222222222222,0.12,68.0,68.0,71.0,37.0,0.0,4.419354838709677,16.0,0.0,4.451612903225806,20.0,1.0,2.290322580645161,12.0,0.0,0.6774193548387096,4.0,38,0,7,26,0,7,26,332,48,14,28,23,3,None
File,ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,2.0,5.0,1.0,1.0,23.0,0.0,1.0,14.0,0.0,18.0,4.0,1.0,18.0,0.0,0.0,0.0,18.0,351.0,32.0,292.0,64.0,214.0,27.0,133.0,165.0,60.0,120.0,64.0,9.0,64.0,1.0,72.0,0.09,90.0,32.0,90.0,22.0,2.0,10.666666666666666,45.0,1.0,5.0,18.0,1.0,4.777777777777778,56.0,0.0,0.3333333333333333,2.0,0,0,6,36,1,6,36,412,247,53,27,0,3,None
File,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,4.0,4.0,1.0,1.0,16.0,0.0,7.0,2.0,2.0,38.0,36.0,24.0,38.0,11.0,9.0,2.0,16.0,870.0,99.0,673.0,242.0,412.0,98.0,354.0,524.0,249.0,345.0,21.0,21.0,23.0,1.4285714285714286,26.428571428571427,0.15,144.0,144.0,157.0,44.0,2.0,6.7727272727272725,28.0,2.0,9.090909090909092,53.0,1.0,362.77272727272725,7720.0,0.0,1.5454545454545454,5.0,0,0,6,49,0,6,49,189,37,45,20,9,1,None
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,2.0,7.0,0.5,1.0,0.0,1.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,349.0,52.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,11.0,15.0,1.5,77.5,0.24,58.0,58.0,71.0,32.0,0.0,7.818181818181818,63.0,1.0,4.242424242424242,21.0,1.0,4.151515151515151,37.0,0.0,0.8181818181818182,5.0,0,0,2,24,0,2,24,203,203,31,126,8,0,None
File,ATSHook.java,19.0,1.0,16.0,2.0,2.0,2.0,2.0,1.0,1.2,16.2,0.0,10.0,1.0,11.0,15.0,24.0,29.0,25.0,3.0,4.0,2.0,16.0,478.0,47.0,386.0,146.0,255.0,54.0,228.0,290.0,138.0,204.0,10.0,8.0,10.0,1.8,16.4,0.14,56.0,54.0,57.0,26.0,2.0,8.785714285714286,45.0,1.0,10.857142857142858,38.0,1.0,13.285714285714286,128.0,0.0,1.5,4.0,0,10,12,35,0,12,35,310,81,16,29,25,4,None
File,AbstractCliConfig.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,1.4,8.6,5.0,6.0,1.0,2.0,40.0,41.0,20.0,42.0,0.0,4.0,13.0,25.0,438.0,63.0,347.0,118.0,172.0,28.0,154.0,246.0,116.0,153.0,8.0,8.0,11.0,1.4,18.6,0.08,82.0,82.0,92.0,45.0,1.0,9.485714285714286,26.0,1.0,3.1714285714285717,12.0,1.0,2.771428571428572,14.0,0.0,0.8,4.0,0,0,3,6,0,3,6,124,24,23,18,0,0,None
File,AbstractCoreBlobstoreCliDriver.java,16.0,1.0,14.0,1.0,2.0,2.0,2.0,1.0,1.5,10.0,1.0,2.0,0.0,5.0,8.0,8.0,0.0,8.0,0.0,1.0,1.0,6.0,180.0,20.0,134.0,53.0,79.0,27.0,77.0,96.0,43.0,65.0,5.0,5.0,5.0,1.5,28.5,0.2,18.0,18.0,18.0,10.0,0.0,5.428571428571429,12.0,1.0,10.142857142857142,22.0,1.0,2.571428571428572,6.0,0.0,1.1428571428571428,2.0,180,0,5,5,0,5,5,120,12,38,38,26,4,None
File,AbstractExpression.java,9.0,0.0,9.0,0.0,2.0,2.0,2.0,1.0,1.0,16.0,35.0,1.0,0.0,1.0,13.0,13.0,2.0,13.0,0.0,0.0,11.0,2.0,168.0,17.0,138.0,64.0,68.0,13.0,97.0,123.0,65.0,76.0,3.0,3.0,3.0,1.0,92.0,0.09,25.0,25.0,25.0,12.0,0.0,8.0,39.0,0.0,4.0,6.0,0.0,1.9230769230769231,3.0,0.0,1.0,2.0,18,0,1,2,0,1,2,9,9,0,455,0,1,None
File,AbstractFilterStringColLikeStringScalar.java,12.0,1.0,11.0,1.0,3.0,3.0,3.0,1.0,1.75,6.125,0.25,10.0,0.0,1.0,31.0,31.0,20.0,31.0,9.0,1.0,1.0,20.0,523.0,66.0,354.0,115.0,193.0,105.0,177.0,261.0,118.0,152.0,24.0,24.0,24.0,1.125,19.0,0.3,73.0,73.0,77.0,40.0,0.0,4.090909090909091,19.0,1.0,2.5454545454545454,12.0,0.0,6.454545454545454,108.0,0.0,0.6818181818181818,5.0,0,10,7,13,0,7,13,77,9,42,101,0,6,None
File,AbstractHBaseKeyFactory.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,14.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,53.0,8.0,28.0,19.0,5.0,17.0,17.0,21.0,16.0,5.0,1.0,1.0,1.0,1.0,67.0,0.61,3.0,3.0,3.0,3.0,2.0,2.6666666666666665,3.0,2.0,2.6666666666666665,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,3,0,1,3,284,284,0,374,0,0,None
File,AbstractHCatLoaderTest.java,22.0,1.0,19.0,1.0,2.0,2.0,2.0,1.0,1.0,35.5,3.0,2.0,8.0,13.0,28.0,20.0,2.0,28.0,5.0,7.0,0.0,16.0,746.0,69.0,612.0,206.0,447.0,80.0,424.0,485.0,193.0,360.0,5.0,5.0,6.0,1.5,44.0,0.13,56.0,56.0,58.0,31.0,0.0,5.222222222222222,11.0,1.0,7.407407407407407,22.0,0.0,2.259259259259259,12.0,0.0,0.8888888888888888,4.0,746,0,3,3,0,3,3,151,151,0,0,130,1,None
File,AbstractHCatStorerTest.java,29.0,2.0,25.0,2.0,3.0,3.0,3.0,1.0,1.0,22.0,3.5,2.0,1.0,3.0,35.0,34.0,1.0,35.0,6.0,0.0,0.0,29.0,1096.0,110.0,890.0,276.0,679.0,104.0,574.0,664.0,244.0,503.0,11.0,10.0,11.0,2.0,34.0,0.12,91.0,90.0,91.0,37.0,0.0,6.411764705882353,20.0,1.0,8.735294117647058,24.0,0.0,5.323529411764706,32.0,0.0,0.7647058823529411,2.0,1096,0,2,2,0,2,2,142,133,71,71,93,1,None
File,AbstractHiveService.java,6.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,17.0,17.0,6.0,17.0,0.0,0.0,2.0,15.0,159.0,22.0,78.0,30.0,30.0,59.0,36.0,58.0,31.0,28.0,2.0,2.0,2.0,1.0,81.0,0.76,20.0,20.0,20.0,17.0,1.0,4.5625,22.0,1.0,1.375,3.0,1.0,1.1875,2.0,0.0,0.1875,1.0,0,0,2,7,0,2,7,73,13,173,186,0,1,None
File,AbstractJoinTaskDispatcher.java,26.0,1.0,21.0,4.0,5.0,5.0,5.0,2.0,2.0,22.0,2.0,1.0,0.0,0.0,6.0,6.0,1.0,6.0,0.0,0.0,2.0,4.0,187.0,14.0,130.0,52.0,68.0,43.0,64.0,98.0,50.0,60.0,7.0,7.0,7.0,1.0,20.0,0.33,25.0,25.0,26.0,8.0,1.0,4.2,7.0,1.0,7.6,12.0,0.0,8.6,18.0,0.0,2.8,5.0,1,0,1,5,0,1,5,24,24,0,294,0,0,None
