Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments,Bugs
File,AbstractHCatLoaderTest.java,23.0,1.0,20.0,2.0,2.0,2.0,2.0,1.0,1.0,34.5,3.0,2.0,8.0,13.0,28.0,20.0,2.0,28.0,5.0,7.0,0.0,16.0,755.0,69.0,618.0,205.0,454.0,83.0,425.0,487.0,192.0,363.0,6.0,6.0,6.0,1.5,44.0,0.13,57.0,57.0,59.0,31.0,0.0,6.222222222222222,27.0,1.0,7.444444444444445,22.0,0.0,2.2962962962962963,12.0,0.0,0.8888888888888888,4.0,8,0,1,8,0,1,8,335,335,0,77,2,0,0.0
File,AbstractHCatStorerTest.java,27.0,2.0,23.0,2.0,2.0,2.0,2.0,1.0,1.0,21.5,3.5,2.0,1.0,3.0,35.0,34.0,1.0,35.0,6.0,0.0,0.0,29.0,1014.0,101.0,817.0,233.0,636.0,104.0,537.0,611.0,214.0,466.0,11.0,10.0,11.0,2.0,34.0,0.13,75.0,74.0,75.0,37.0,0.0,5.735294117647059,20.0,1.0,9.117647058823527,24.0,0.0,3.3823529411764706,32.0,0.0,0.6176470588235294,2.0,0,6,1,6,0,1,6,335,335,0,122,0,1,0.0
File,AbstractJdbcTriggersTest.java,17.0,1.0,16.0,0.0,3.0,3.0,3.0,1.0,1.0,36.0,3.0,1.0,2.0,5.0,11.0,9.0,2.0,11.0,5.0,1.0,0.0,5.0,231.0,27.0,188.0,76.0,110.0,19.0,123.0,151.0,72.0,91.0,8.0,8.0,9.0,1.0,75.0,0.1,23.0,23.0,24.0,9.0,0.0,8.363636363636363,34.0,0.0,7.727272727272727,23.0,0.0,5.727272727272728,40.0,0.0,0.8181818181818182,4.0,31,0,2,8,0,2,8,357,311,24,31,0,2,1.0
File,AbstractRecordWriter.java,14.0,0.0,12.0,1.0,3.0,3.0,3.0,1.0,1.6,23.6,1.2,3.0,1.0,1.0,21.0,20.0,15.0,21.0,3.0,4.0,7.0,7.0,334.0,29.0,246.0,101.0,125.0,61.0,130.0,171.0,94.0,93.0,9.0,9.0,9.0,1.2,34.2,0.25,43.0,43.0,44.0,16.0,0.0,5.0,20.0,0.0,7.232558139534884,50.0,0.0,5.906976744186046,144.0,0.0,1.2790697674418603,4.0,0,0,1,25,0,1,25,403,403,0,63,0,1,1.0
File,AbstractRecordWriter.java,16.0,0.0,15.0,1.0,3.0,3.0,3.0,1.0,1.6,23.6,1.2,2.0,1.0,3.0,27.0,25.0,34.0,26.0,1.0,0.0,15.0,10.0,559.0,35.0,470.0,167.0,287.0,55.0,269.0,349.0,166.0,227.0,10.0,10.0,13.0,1.2,34.2,0.12,79.0,79.0,86.0,25.0,0.0,5.0,20.0,0.0,7.232558139534884,50.0,0.0,5.906976744186046,144.0,0.0,1.2790697674418603,4.0,0,0,1,25,0,1,25,403,403,0,63,0,1,1.0
File,AbstractService.java,9.0,0.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,10.0,4.0,1.0,0.0,1.0,13.0,13.0,5.0,13.0,0.0,2.0,1.0,10.0,193.0,23.0,83.0,36.0,32.0,87.0,35.0,54.0,27.0,29.0,2.0,2.0,4.0,1.0,80.0,1.05,15.0,15.0,17.0,13.0,1.0,6.0,19.0,1.0,2.083333333333333,6.0,1.0,1.1666666666666667,2.0,0.0,0.1666666666666666,1.0,9,0,1,8,0,1,8,236,236,0,271,0,0,0.0
File,AcidEventListener.java,12.0,1.0,11.0,1.0,2.0,2.0,3.0,1.0,1.0,19.0,0.0,1.0,0.0,0.0,8.0,8.0,2.0,8.0,0.0,1.0,0.0,7.0,146.0,15.0,105.0,47.0,53.0,26.0,53.0,71.0,40.0,41.0,3.0,3.0,5.0,2.0,44.0,0.25,17.0,17.0,21.0,8.0,2.0,3.857142857142857,12.0,4.0,7.714285714285714,14.0,1.0,2.4285714285714284,4.0,0.0,0.8571428571428571,1.0,51,0,1,4,0,1,4,238,238,0,269,0,1,0.0
File,AcidUtils.java,12.0,0.0,9.0,3.0,2.0,2.0,3.0,1.0,1.2777777777777777,8.88888888888889,0.0,22.0,78.0,39.0,127.0,52.0,32.0,130.0,7.0,9.0,0.0,114.0,1980.0,147.0,1331.0,458.0,774.0,510.0,566.0,865.0,406.0,578.0,19.0,19.0,28.0,1.3333333333333333,14.333333333333334,0.38,285.0,281.0,343.0,164.0,0.0,6.804195804195804,34.0,0.0,5.391608391608392,25.0,0.0,9.531468531468532,960.0,0.0,0.5034965034965035,4.0,45,0,3,83,0,3,83,320,236,1,18,9,0,1.0
File,AlterCatalogEvent.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,3.5,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,44.0,6.0,21.0,12.0,5.0,17.0,11.0,15.0,10.0,5.0,1.0,1.0,1.0,2.0,33.0,0.81,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,44,0,1,1,0,1,1,222,222,0,0,16,0,0.0
File,AlterCatalogMessage.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,6.5,0.5,1.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,29.0,3.0,9.0,6.0,1.0,17.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,2.5,39.0,1.89,1.0,1.0,1.0,1.0,0.0,1.181818181818182,4.0,1.0,1.4545454545454546,3.0,0.0,0.8181818181818182,2.0,0.0,0.0909090909090909,1.0,29,0,1,1,0,1,1,222,222,0,0,16,0,0.0
File,AlterCatalogRequest.java,9.0,0.0,8.0,1.0,2.0,2.0,2.0,1.0,2.2,10.2,0.0,6.0,3.0,6.0,41.0,40.0,6.0,43.0,1.0,2.0,0.0,40.0,504.0,72.0,406.0,116.0,220.0,32.0,183.0,280.0,101.0,196.0,8.0,8.0,16.0,1.4,11.4,0.08,95.0,90.0,105.0,59.0,0.0,2.8378378378378377,7.0,1.0,2.783783783783784,13.0,1.0,3.216216216216216,16.0,0.0,0.6486486486486487,3.0,504,0,1,1,0,1,1,222,222,0,0,26,0,0.0
File,AlterDatabaseHandler.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,2.0,42.0,5.0,20.0,11.0,6.0,17.0,10.0,14.0,9.0,6.0,1.0,1.0,1.0,2.0,0.0,0.85,3.0,3.0,3.0,3.0,1.0,6.0,14.0,1.0,13.0,32.0,1.0,4.0,10.0,0.0,1.3333333333333333,4.0,4,0,1,6,0,1,6,51,51,0,34,0,1,0.0
File,AlterDatabaseHandler.java,57.0,7.0,47.0,3.0,8.0,8.0,12.0,5.0,1.0,16.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,101.0,10.0,67.0,32.0,37.0,24.0,36.0,44.0,30.0,22.0,8.0,8.0,12.0,2.0,0.0,0.36,8.0,8.0,12.0,5.0,1.0,6.0,14.0,1.0,13.0,32.0,1.0,4.0,10.0,0.0,1.3333333333333333,4.0,4,0,1,6,0,1,6,51,51,0,34,0,1,0.0
File,ArrowColumnarBatchSerDe.java,18.0,1.0,18.0,0.0,4.0,2.0,4.0,3.0,1.0,51.0,0.0,1.0,3.0,9.0,9.0,6.0,6.0,9.0,2.0,1.0,0.0,6.0,277.0,23.0,219.0,109.0,132.0,35.0,153.0,170.0,104.0,89.0,25.0,5.0,25.0,1.5,88.5,0.16,37.0,17.0,37.0,29.0,0.0,3.651515151515152,43.0,1.0,3.4696969696969697,24.0,1.0,2.272727272727273,44.0,0.0,0.303030303030303,5.0,277,0,3,3,0,3,3,88,21,14,14,58,1,1.0
File,ArrowWrapperWritable.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,8.0,8.0,1.0,8.0,0.0,0.0,0.0,8.0,61.0,11.0,33.0,18.0,7.0,17.0,14.0,23.0,16.0,7.0,1.0,1.0,1.0,1.0,63.0,0.52,8.0,8.0,8.0,8.0,0.0,1.1666666666666667,5.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,61,0,2,2,0,2,2,233,155,10,10,16,1,1.0
File,AuthorizationPreEventListener.java,14.0,0.0,13.0,1.0,3.0,3.0,3.0,1.0,1.0,11.818181818181818,0.0,9.0,0.0,5.0,27.0,27.0,0.0,27.0,0.0,16.0,4.0,7.0,483.0,40.0,402.0,113.0,247.0,42.0,154.0,240.0,104.0,159.0,17.0,6.0,17.0,1.9090909090909087,13.363636363636363,0.1,93.0,81.0,94.0,40.0,0.0,5.214285714285714,18.0,1.0,6.261904761904762,46.0,1.0,4.071428571428571,84.0,0.0,0.8095238095238095,4.0,2,0,1,17,0,1,17,222,222,0,124,0,1,0.0
File,AvroDeserializer.java,23.0,2.0,19.0,3.0,5.0,4.0,5.0,2.0,1.0,24.0,0.0,2.0,0.0,1.0,12.0,12.0,8.0,12.0,0.0,7.0,0.0,5.0,390.0,40.0,279.0,116.0,171.0,77.0,162.0,208.0,109.0,134.0,18.0,12.0,18.0,1.0,41.0,0.28,57.0,47.0,59.0,29.0,1.0,5.363636363636363,26.0,1.0,11.545454545454543,24.0,1.0,4.0606060606060606,40.0,0.0,0.4242424242424242,3.0,0,0,1,28,0,1,28,335,335,0,81,0,1,1.0
File,AvroSerializer.java,16.0,1.0,14.0,0.0,3.0,2.0,3.0,2.0,1.0,17.2,0.0,4.0,0.0,1.0,13.0,13.0,4.0,13.0,0.0,8.0,2.0,3.0,298.0,35.0,224.0,98.0,142.0,40.0,138.0,169.0,100.0,113.0,11.0,5.0,11.0,2.0,17.8,0.18,39.0,28.0,40.0,30.0,0.0,2.744186046511628,25.0,1.0,6.674418604651163,17.0,1.0,2.069767441860465,16.0,0.0,0.2093023255813953,2.0,0,3,1,16,0,1,16,335,335,0,147,0,1,1.0
File,BaseJdbcWithMiniLlap.java,25.0,3.0,21.0,1.0,2.0,2.0,2.0,1.0,1.3333333333333333,10.5,0.3333333333333333,7.0,4.0,6.0,22.0,18.0,7.0,22.0,1.0,2.0,3.0,16.0,628.0,91.0,491.0,187.0,337.0,48.0,358.0,399.0,181.0,256.0,4.0,4.0,4.0,1.3333333333333333,13.666666666666666,0.1,36.0,36.0,37.0,20.0,1.0,5.045454545454546,16.0,0.0,6.454545454545454,23.0,0.0,1.8636363636363635,6.0,0.0,0.4545454545454545,2.0,628,0,3,3,0,3,3,323,311,20,20,6,2,0.0
File,BaseMaskUDF.java,9.0,2.0,7.0,0.0,2.0,2.0,2.0,2.0,1.0,12.0,6.0,12.0,1.0,1.0,40.0,39.0,21.0,40.0,10.0,0.0,1.0,29.0,472.0,116.0,297.0,121.0,136.0,60.0,155.0,216.0,110.0,125.0,9.0,3.0,9.0,2.0,50.0,0.2,56.0,49.0,56.0,48.0,2.0,2.333333333333333,3.0,2.0,4.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,1,3,0,1,3,335,335,0,394,0,1,0.0
File,BaseSemanticAnalyzer.java,14.0,0.0,12.0,2.0,3.0,3.0,3.0,1.0,1.0,28.0,1.8,6.0,53.0,5.0,138.0,87.0,48.0,140.0,4.0,22.0,37.0,77.0,2299.0,203.0,1784.0,539.0,1101.0,326.0,876.0,1246.0,501.0,878.0,23.0,23.0,34.0,1.0,47.4,0.18,382.0,348.0,442.0,173.0,1.0,9.078125,100.0,0.0,4.2578125,33.0,0.0,14.8828125,703.0,0.0,0.734375,6.0,2,0,1,170,0,1,170,335,335,0,21,0,1,0.0
File,BaseVectorizedColumnReader.java,11.0,0.0,10.0,1.0,2.0,2.0,2.0,1.0,1.1666666666666667,6.5,1.0,6.0,0.0,1.0,17.0,17.0,18.0,17.0,4.0,4.0,3.0,6.0,303.0,38.0,211.0,78.0,109.0,54.0,113.0,146.0,72.0,82.0,4.0,4.0,4.0,1.6666666666666667,12.166666666666666,0.26,28.0,28.0,28.0,18.0,0.0,4.615384615384615,15.0,1.0,4.846153846153846,15.0,0.0,1.8461538461538465,6.0,0.0,0.6923076923076923,2.0,0,0,1,4,0,1,4,335,335,0,62,0,1,0.0
File,BatchToRowReader.java,19.0,0.0,18.0,0.0,4.0,4.0,6.0,2.0,1.5,29.5,0.5,1.0,14.0,1.0,33.0,19.0,6.0,33.0,0.0,5.0,6.0,22.0,630.0,40.0,559.0,174.0,318.0,32.0,268.0,367.0,138.0,239.0,20.0,9.0,20.0,1.5,45.0,0.06,115.0,98.0,151.0,49.0,0.0,6.2105263157894735,28.0,0.0,3.763157894736842,23.0,0.0,5.0,42.0,0.0,1.105263157894737,3.0,6,0,2,5,0,2,5,369,335,3,181,0,2,1.0
File,BeeLine.java,13.0,1.0,11.0,2.0,3.0,3.0,3.0,2.0,1.2608695652173914,15.26086956521739,0.1739130434782608,3.0,9.0,16.0,138.0,129.0,27.0,138.0,86.0,17.0,3.0,32.0,2465.0,338.0,1783.0,402.0,1178.0,374.0,738.0,1104.0,403.0,815.0,16.0,16.0,17.0,1.434782608695652,26.17391304347826,0.21,374.0,370.0,414.0,226.0,0.0,4.369747899159663,76.0,0.0,3.938375350140056,35.0,0.0,5.7899159663865545,889.0,0.0,0.5014005602240896,5.0,22,0,3,103,0,3,103,58,28,5,18,0,3,1.0
File,BeelineWithHS2ConnectionFileTestBase.java,7.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,11.25,0.5,4.0,2.0,7.0,18.0,16.0,13.0,18.0,2.0,0.0,8.0,8.0,236.0,28.0,188.0,92.0,90.0,20.0,113.0,143.0,83.0,75.0,3.0,3.0,3.0,1.25,40.75,0.11,23.0,23.0,24.0,18.0,0.0,4.5,12.0,1.0,4.0,11.0,1.0,1.2142857142857142,2.0,0.0,0.3571428571428571,2.0,18,0,1,4,0,1,4,117,117,0,200,0,1,0.0
