Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments,Bugs
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,3.0,3.0,2.0,1.0,8.5,0.0,1.0,0.0,3.0,10.0,10.0,2.0,10.0,0.0,3.0,0.0,7.0,167.0,22.0,125.0,38.0,70.0,20.0,57.0,89.0,37.0,58.0,11.0,11.0,13.0,1.0,22.5,0.16,29.0,29.0,32.0,22.0,1.0,3.9,13.0,1.0,4.5,12.0,1.0,5.8,40.0,0.0,0.9,3.0,167,0,1,1,0,1,1,141,141,0,0,20,0,0.0
File,AMReporter.java,12.0,0.0,11.0,1.0,2.0,2.0,2.0,1.0,1.2222222222222223,13.333333333333334,0.0,9.0,0.0,1.0,34.0,34.0,31.0,34.0,10.0,0.0,3.0,21.0,525.0,60.0,412.0,152.0,213.0,53.0,195.0,268.0,135.0,155.0,7.0,7.0,9.0,1.7777777777777777,17.22222222222222,0.13,65.0,65.0,68.0,36.0,0.0,4.166666666666667,14.0,0.0,4.2,20.0,1.0,2.2666666666666666,12.0,0.0,0.6666666666666666,4.0,50,0,5,19,0,5,19,242,19,21,38,22,2,1.0
File,ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,2.0,5.0,1.0,1.0,23.0,0.0,1.0,14.0,0.0,18.0,4.0,1.0,18.0,0.0,0.0,0.0,18.0,351.0,32.0,292.0,64.0,214.0,27.0,133.0,165.0,60.0,120.0,64.0,9.0,64.0,1.0,72.0,0.09,90.0,32.0,90.0,22.0,2.0,10.72222222222222,47.0,1.0,5.277777777777778,23.0,1.0,4.777777777777778,56.0,0.0,0.3333333333333333,2.0,43,0,4,30,1,4,30,376,188,64,33,3,3,0.0
File,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,4.0,4.0,1.0,1.0,16.142857142857142,0.0,7.0,2.0,2.0,38.0,36.0,24.0,38.0,11.0,9.0,2.0,16.0,870.0,99.0,673.0,242.0,412.0,98.0,354.0,524.0,249.0,345.0,21.0,21.0,23.0,1.2857142857142858,26.428571428571427,0.15,144.0,144.0,157.0,44.0,2.0,6.7727272727272725,28.0,2.0,9.409090909090908,56.0,1.0,362.77272727272725,7720.0,0.0,1.5454545454545454,5.0,95,0,6,43,0,6,43,117,13,44,22,15,2,0.0
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,2.0,8.5,0.5,1.0,0.0,1.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,349.0,52.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,11.0,15.0,1.5,77.5,0.24,58.0,58.0,71.0,32.0,0.0,10.212121212121213,143.0,1.0,4.606060606060606,23.0,1.0,4.151515151515151,37.0,0.0,0.8181818181818182,5.0,0,1,2,22,0,2,22,146,146,18,139,8,0,0.0
File,ATSHook.java,20.0,1.0,17.0,2.0,2.0,2.0,2.0,1.0,2.0,17.2,0.0,10.0,1.0,11.0,15.0,24.0,28.0,25.0,3.0,4.0,2.0,16.0,488.0,46.0,397.0,153.0,269.0,54.0,226.0,287.0,138.0,201.0,10.0,8.0,10.0,1.0,16.4,0.14,55.0,53.0,56.0,26.0,2.0,8.5,42.0,1.0,11.285714285714286,37.0,1.0,8.714285714285714,64.0,0.0,1.5,4.0,261,0,10,23,0,10,23,228,52,20,44,27,5,1.0
File,AbstractCliConfig.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,1.4,9.6,4.6,6.0,1.0,2.0,40.0,41.0,20.0,42.0,0.0,4.0,13.0,25.0,438.0,63.0,347.0,118.0,172.0,28.0,154.0,246.0,116.0,153.0,8.0,8.0,11.0,1.4,18.6,0.08,82.0,82.0,92.0,45.0,1.0,8.314285714285715,23.0,1.0,3.8,15.0,1.0,2.771428571428572,14.0,0.0,0.8,4.0,438,0,3,3,0,3,3,141,141,23,23,28,2,0.0
File,AbstractHiveService.java,6.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,0.0,17.0,17.0,6.0,17.0,0.0,0.0,2.0,15.0,159.0,22.0,78.0,30.0,30.0,59.0,36.0,58.0,31.0,28.0,2.0,2.0,2.0,1.0,81.0,0.76,20.0,20.0,20.0,17.0,1.0,4.6875,29.0,1.0,1.5,3.0,1.0,1.1875,2.0,0.0,0.1875,1.0,0,0,1,5,0,1,5,95,95,0,236,0,0,0.0
File,AbstractMapJoinOperator.java,9.0,1.0,8.0,0.0,1.0,1.0,1.0,1.0,2.0,12.0,3.0,1.0,0.0,1.0,7.0,7.0,5.0,7.0,0.0,0.0,3.0,4.0,120.0,20.0,75.0,40.0,33.0,26.0,42.0,54.0,33.0,25.0,3.0,3.0,3.0,3.0,80.0,0.35,10.0,10.0,10.0,7.0,1.0,5.5,13.0,1.0,6.75,16.0,1.0,1.75,3.0,0.0,0.5,1.0,0,0,1,33,0,1,33,2,2,0,78,0,1,0.0
File,AbstractOperatorDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,8.0,30.0,1.0,0.0,0.0,16.0,16.0,7.0,16.0,0.0,0.0,0.0,16.0,115.0,23.0,75.0,42.0,19.0,17.0,29.0,46.0,30.0,16.0,1.0,1.0,1.0,1.0,87.0,0.23,16.0,16.0,16.0,16.0,0.0,3.25,12.0,1.0,1.125,2.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0,2,17,0,2,17,198,149,115,98,0,2,1.0
