Name,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments
OrcProto.java,884,0,2,22,0,2,22,172,97,392,76,48,0
TestVectorOrcFile.java,7,0,2,11,1,2,11,97,97,63,62,0,2
TestOrcTimezone1.java,0,0,1,5,0,1,5,97,97,0,211,0,1
TestColumnStatistics.java,0,0,2,12,0,2,12,82,67,194,89,0,2
TestOrcTimezone2.java,0,0,1,4,0,1,4,97,97,0,282,0,1
TestOrcNullOptimization.java,0,0,1,10,0,1,10,97,97,0,164,0,1
TestOrcTimezone3.java,124,0,2,2,0,2,2,172,97,333,333,0,1
TestTypeDescription.java,22,0,2,8,0,2,8,97,97,368,97,0,1
TestNewIntegerEncoding.java,0,0,1,15,0,1,15,97,97,0,102,0,1
TestUnrolledBitPack.java,0,0,1,5,0,1,5,97,97,0,281,0,1
TestStringDictionary.java,1,0,1,4,0,1,4,97,97,0,349,0,1
TestInStream.java,0,0,1,7,0,1,7,97,97,0,265,0,1
TestSchemaEvolution.java,480,0,5,5,0,5,5,137,67,90,90,0,2
TestOrcWideTable.java,0,0,2,6,0,2,6,330,97,222,224,0,2
TestRunLengthIntegerReader.java,0,0,1,6,0,1,6,97,97,0,319,0,1
TestRunLengthByteReader.java,0,0,1,6,0,1,6,97,97,0,319,0,1
TestOutStream.java,0,0,1,2,0,1,2,97,97,0,494,0,1
TestDynamicArray.java,0,2,1,3,0,1,3,97,97,0,798,0,1
TestZlib.java,0,0,1,3,0,1,3,97,97,0,798,0,1
TestRecordReaderImpl.java,17,0,3,32,0,3,32,115,2,86,46,18,2
TestBitFieldReader.java,0,0,1,6,0,1,6,97,97,0,319,0,1
TestColumnStatisticsImpl.java,0,0,1,2,0,1,2,97,97,0,944,0,1
TestRLEv2.java,0,0,1,3,0,1,3,97,97,0,296,0,1
TestMemoryManager.java,0,1,1,6,0,1,6,97,97,0,310,0,1
TestIntegerCompressionReader.java,0,0,1,10,0,1,10,97,97,0,159,0,1
TestStringRedBlackTree.java,0,2,1,6,0,1,6,97,97,0,319,0,1
TestDataReaderProperties.java,0,1,1,4,0,1,4,97,97,0,152,0,1
TestSerializationUtils.java,0,2,1,9,0,1,9,97,97,0,199,0,1
TestStreamName.java,0,0,1,4,0,1,4,97,97,0,531,0,1
TestReaderImpl.java,0,0,1,3,0,1,3,97,97,0,244,0,1
TestBitPack.java,0,0,1,7,0,1,7,97,97,0,239,0,1
TestFileDump.java,0,1,1,19,0,1,19,97,97,0,88,0,1
TestJsonFileDump.java,0,0,1,4,0,1,4,97,97,0,267,0,1
DoubleColumnStatistics.java,0,2,1,3,0,1,3,97,97,0,798,0,1
BinaryColumnStatistics.java,0,2,1,3,0,1,3,97,97,0,693,0,1
ColumnStatistics.java,0,0,1,24,0,1,24,97,97,0,74,0,1
DataReader.java,0,0,1,6,0,1,6,97,97,0,144,0,1
FileMetadata.java,0,4,1,5,0,1,5,97,97,0,216,0,1
StripeStatistics.java,0,0,1,3,0,1,3,97,97,0,674,0,1
StripeInformation.java,0,0,1,4,0,1,4,97,97,0,532,0,1
StringColumnStatistics.java,0,2,1,4,0,1,4,97,97,0,532,0,1
OrcConf.java,0,0,1,6,0,1,6,97,97,0,148,0,1
BooleanColumnStatistics.java,0,2,1,3,0,1,3,97,97,0,798,0,1
FileFormatException.java,0,0,1,3,0,1,3,97,97,0,376,0,1
BloomFilterIO.java,0,0,1,4,0,1,4,97,97,0,270,0,1
OrcUtils.java,93,0,3,13,0,3,13,302,97,196,74,0,2
OrcFile.java,6,0,5,56,1,5,56,172,97,98,29,6,2
CompressionKind.java,0,0,2,5,0,2,5,97,97,48,398,0,2
Writer.java,0,0,2,11,0,2,11,97,97,48,159,0,2
TypeDescription.java,264,0,3,12,0,3,12,97,97,184,62,13,1
DateColumnStatistics.java,0,2,1,4,0,1,4,97,97,0,483,0,1
Reader.java,51,0,6,48,0,6,48,302,97,78,33,22,3
IntegerColumnStatistics.java,0,2,1,3,0,1,3,97,97,0,798,0,1
TimestampColumnStatistics.java,0,0,1,4,0,1,4,97,97,0,352,0,1
DecimalColumnStatistics.java,0,1,1,3,0,1,3,97,97,0,780,0,1
RecordReader.java,0,0,2,26,0,2,26,97,97,48,115,0,2
CompressionCodec.java,0,0,1,7,0,1,7,97,97,0,265,0,1
DirectDecompressionCodec.java,0,0,1,3,0,1,3,97,97,0,619,0,1
PositionProvider.java,0,0,1,5,0,1,5,97,97,0,398,0,1
IntegerWriter.java,0,0,1,5,0,1,5,97,97,0,359,0,1
HadoopShims.java,21,0,5,114,0,5,114,201,2,101,25,11,3
WriterImpl.java,22,0,9,80,0,9,80,242,67,27,20,81,6
MemoryManager.java,1,0,2,17,0,2,17,330,97,369,96,2,0
HadoopShims_2_2.java,0,0,1,3,0,1,3,97,97,0,312,0,1
SerializationUtils.java,0,0,1,13,0,1,13,97,97,0,132,0,1
OutStream.java,0,0,1,9,0,1,9,97,97,0,199,0,1
BitFieldWriter.java,0,4,1,3,0,1,3,97,97,0,798,0,1
DynamicIntArray.java,0,0,1,4,0,1,4,97,97,0,532,0,1
RunLengthByteReader.java,0,0,1,14,0,1,14,97,97,0,122,0,1
OrcIndex.java,0,0,1,2,0,1,2,97,97,0,624,0,1
StreamName.java,0,0,1,5,0,1,5,97,97,0,398,0,1
StringRedBlackTree.java,0,3,1,7,0,1,7,97,97,0,266,0,1
ColumnStatisticsImpl.java,4,0,2,22,0,2,22,82,67,194,75,2,2
ZlibCodec.java,0,1,1,6,0,1,6,97,97,0,319,0,1
PositionRecorder.java,0,0,1,3,0,1,3,97,97,0,798,0,1
PhysicalWriter.java,122,0,3,3,0,3,3,330,97,110,110,74,2
RecordReaderImpl.java,0,0,7,160,0,7,160,243,67,59,10,13,4
SnappyCodec.java,0,0,1,5,0,1,5,97,97,0,398,0,1
DynamicByteArray.java,0,0,1,7,0,1,7,97,97,0,265,0,1
RunLengthIntegerReaderV2.java,0,0,1,18,0,1,18,97,97,0,84,0,1
IntegerReader.java,0,0,1,13,0,1,13,97,97,0,119,0,1
SettableUncompressedStream.java,0,1,1,10,0,1,10,97,97,0,96,0,1
RunLengthIntegerWriter.java,0,0,1,7,0,1,7,97,97,0,266,0,1
OrcAcidUtils.java,3,0,2,3,0,2,3,122,97,228,212,0,2
SchemaEvolution.java,209,0,6,13,0,6,13,137,67,79,51,20,1
ReaderImpl.java,0,0,9,82,0,9,82,302,97,49,19,2,4
ConvertTreeReaderFactory.java,52,0,8,10,0,8,10,243,67,56,49,7,2
OrcTail.java,138,0,3,3,0,3,3,302,97,196,196,0,2
RunLengthByteWriter.java,0,0,1,3,0,1,3,97,97,0,798,0,1
InStream.java,0,0,1,59,0,1,59,97,97,0,27,0,1
DataReaderProperties.java,0,2,1,4,0,1,4,97,97,0,152,0,1
PositionedOutputStream.java,0,0,1,4,0,1,4,97,97,0,532,0,1
BitFieldReader.java,0,3,1,14,0,1,14,97,97,0,122,0,1
BufferChunk.java,0,0,1,2,0,1,2,97,97,0,624,0,1
HadoopShimsCurrent.java,0,0,1,3,0,1,3,97,97,0,312,0,1
AcidStats.java,0,0,1,2,0,1,2,97,97,0,423,0,1
ZeroCopyShims.java,0,0,1,4,0,1,4,97,97,0,419,0,1
RecordReaderUtils.java,0,0,2,30,0,2,30,330,97,222,30,0,2
RunLengthIntegerWriterV2.java,0,0,1,13,0,1,13,97,97,0,119,0,1
RunLengthIntegerReader.java,0,0,1,17,0,1,17,97,97,0,99,0,1
TreeReaderFactory.java,69,0,10,31,0,10,31,243,67,44,27,3,5
RedBlackTree.java,0,2,1,4,0,1,4,97,97,0,532,0,1
PhysicalFsWriter.java,529,0,2,2,0,2,2,330,97,222,222,66,1
JsonFileDump.java,0,1,1,10,0,1,10,97,97,0,89,0,1
FileDump.java,0,0,1,40,0,1,40,97,97,0,40,0,1
GenVectorCode.java,101,0,3,33,0,3,33,215,215,8,38,3,1
MiniLlapCluster.java,0,0,2,20,1,2,20,404,246,69,37,0,2
TestLowLevelCacheImpl.java,39,0,2,24,0,2,24,563,563,186,31,1,0
TestOrcMetadataCache.java,5,0,1,10,0,1,10,563,563,0,54,0,0
TestBuddyAllocator.java,0,0,1,18,0,1,18,563,563,0,31,0,0
TestLowLevelLrfuCachePolicy.java,49,0,1,14,0,1,14,563,563,0,42,0,0
TestIncrementalObjectSizeEstimator.java,0,0,1,10,0,1,10,97,97,0,89,0,1
TestLlapSignerImpl.java,17,0,3,4,0,3,4,282,1,121,83,4,1
TestTaskExecutorService.java,53,0,2,21,0,2,21,194,141,3,33,8,1
TaskExecutorTestHelpers.java,36,0,9,19,0,9,19,317,141,33,31,0,9
TestEvictingPriorityBlockingQueue.java,128,0,1,1,0,1,1,141,141,0,0,26,0
TestLlapTokenChecker.java,0,0,1,3,0,1,3,563,563,0,42,0,0
TestLlapDaemonProtocolServerImpl.java,0,1,3,16,0,3,16,352,141,74,43,0,3
TestLlapWebServices.java,69,0,1,1,0,1,1,2,2,0,0,12,0
TestShortestJobFirstComparator.java,53,0,4,5,0,4,5,194,141,64,134,4,2
TestFirstInFirstOutComparator.java,13,0,4,9,0,4,9,141,141,76,66,1,3
IncrementalObjectSizeEstimator.java,0,0,1,7,0,1,7,563,563,0,112,0,1
LlapDaemonConfiguration.java,0,0,1,10,0,1,10,6,6,0,89,0,1
LlapServiceDriver.java,135,0,11,47,1,11,47,449,86,36,18,58,5
LlapStatusServiceDriver.java,231,0,7,10,1,7,10,317,141,38,33,36,3
LlapStatusOptionsProcessor.java,83,0,3,5,1,3,5,194,141,108,72,0,2
LlapOptionsProcessor.java,36,0,3,20,0,3,20,352,141,58,32,2,2
ShuffleHandler.java,0,0,1,13,0,1,13,563,563,0,56,0,1
SchedulerFragmentCompletingListener.java,29,0,1,1,0,1,1,141,141,0,0,16,0
EvictionDispatcher.java,11,0,3,5,0,3,5,563,563,74,172,2,1
LowLevelCache.java,3,0,1,20,0,1,20,563,563,0,31,0,0
SimpleAllocator.java,1,0,1,2,0,1,2,563,563,0,236,0,0
LowLevelCacheImpl.java,0,70,5,43,0,5,43,330,97,75,20,23,2
LowLevelLrfuCachePolicy.java,88,0,3,24,0,3,24,563,563,129,35,0,2
FileCacheCleanupThread.java,104,0,1,1,0,1,1,563,563,0,0,23,0
SerDeLowLevelCacheImpl.java,734,0,4,4,0,4,4,330,97,43,43,90,1
LlapDataBuffer.java,7,0,1,7,0,1,7,563,563,0,114,0,1
LowLevelCacheMemoryManager.java,0,7,2,17,0,2,17,563,563,258,47,0,1
SimpleBufferManager.java,29,0,1,3,0,1,3,563,563,0,118,0,0
LowLevelCachePolicy.java,2,0,1,8,0,1,8,563,563,0,78,0,0
FileCache.java,107,0,1,1,0,1,1,563,563,0,0,26,0
LowLevelFifoCachePolicy.java,14,0,2,13,0,2,13,563,563,258,67,0,1
BuddyAllocator.java,4,0,4,30,0,4,30,218,6,95,28,3,1
LlapUgiFactoryFactory.java,67,0,1,1,0,1,1,563,563,0,0,17,0
